,state,account_length,area_code,phone_number,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls
2444,0.86,0.49586776859504134,1.0,0.8599719943988797,1.0,0.0,0.5961538461538461,0.7485064011379802,0.42424242424242425,0.7484939759036144,0.7679406103931813,0.6941176470588235,0.768036234228405,0.32177215189873415,0.8171428571428572,0.32189082723691614,0.485,0.2,0.48518518518518516,0.052690582959641255
4769,0.28,0.5495867768595041,0.010408326661329063,0.0618123624724945,1.0,1.0,0.0,0.5846372688477952,0.5272727272727272,0.5846720214190093,0.5743744844652187,0.3941176470588235,0.5745713361371725,0.46151898734177216,0.3942857142857143,0.46145188519977487,0.26,0.15,0.25925925925925924,0.6306053811659192
389,0.5,0.6157024793388429,0.0,0.9517903580716143,1.0,1.0,0.0,0.3584637268847795,0.6,0.35843373493975905,0.6557602419576575,0.4294117647058823,0.6557748301520543,0.7217721518987342,0.5714285714285714,0.7220033764772088,0.51,0.3,0.5092592592592592,0.3716367713004484
455,0.38,0.359504132231405,1.0,0.9615923184636928,1.0,1.0,0.0,0.7533428165007112,0.7515151515151515,0.7533467202141901,0.6747319219136652,0.6588235294117647,0.6748625040439987,0.40632911392405063,0.6571428571428571,0.40630275745638716,0.74,0.1,0.7407407407407407,1.0
2150,0.8,0.871900826446281,1.0,0.09921984396879376,1.0,1.0,0.0,0.6429587482219061,0.7696969696969697,0.642904953145917,0.8375034368985429,0.48823529411764705,0.8375930119702362,0.45873417721518983,0.7542857142857143,0.45863815419245924,0.63,0.2,0.6296296296296295,0.6306053811659192
3124,0.56,0.30578512396694213,0.010408326661329063,0.7183436687337468,1.0,0.0,0.46153846153846156,0.6415362731152204,0.7212121212121212,0.6415662650602411,0.5004124278251306,0.6352941176470588,0.5004852798447105,0.6858227848101265,0.6057142857142858,0.6859876195835678,0.47000000000000003,0.1,0.4703703703703703,0.3716367713004484
2920,0.46,0.5413223140495868,0.0,0.8305661132226445,1.0,1.0,0.0,0.3456614509246088,0.5333333333333333,0.3457161981258367,0.6956282650536156,0.7294117647058823,0.6958912973147849,0.49544303797468353,0.6857142857142857,0.4957794034890265,0.5349999999999999,0.2,0.5351851851851852,1.0
1863,0.84,0.384297520661157,0.010408326661329063,0.4260852170434087,0.0,1.0,0.0,0.48392603129445233,0.6848484848484848,0.4839357429718876,0.7473192191366511,0.5529411764705883,0.7473309608540926,0.28025316455696203,0.44571428571428573,0.2802476083286438,0.43499999999999994,0.2,0.4351851851851852,1.0
486,0.38,0.41735537190082644,0.0,0.2986597319463893,0.0,1.0,0.0,0.665149359886202,0.6242424242424243,0.6651606425702812,0.6092933736596096,0.7705882352941177,0.6095114849563248,0.3718987341772152,0.6057142857142858,0.37197523916713565,0.64,0.15,0.6407407407407407,0.5723094170403588
456,0.06,0.24380165289256198,1.0,0.40228045609121826,1.0,1.0,0.0,0.2793741109530583,0.5333333333333333,0.27928380187416335,0.4962881495738246,0.40588235294117647,0.4962795211905532,0.5660759493670886,0.3942857142857143,0.566122678671919,0.465,0.1,0.46481481481481474,0.6306053811659192
630,0.86,0.5743801652892562,0.010408326661329063,0.9545909181836367,1.0,1.0,0.0,0.5541963015647227,0.6484848484848484,0.5542168674698795,0.4698927687654661,0.5823529411764706,0.4700744095761889,0.569873417721519,0.5314285714285715,0.570061902082161,0.6950000000000001,0.2,0.6944444444444444,0.5723094170403588
