,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker
447,0.622356495468278,0.04411764705882353,1.0,1.0,0.1279850335644327,1.0,1.0,0.3333333333333333,1.0,0.012702078521939953,0.3333333333333333,0.7191011235955056,0.2857142857142857,1.0,1.0,0.0,1.0,0.0,0.0,1.0
987,1.0,0.1323529411764706,1.0,1.0,0.06377242214152086,0.0990990990990991,0.0,0.3333333333333333,0.5220883534136547,1.0,1.0,0.7191011235955056,0.8035714285714286,1.0,1.0,0.0,1.0,0.0,0.0,1.0
818,0.6374622356495468,0.47058823529411764,1.0,0.01107011070110701,0.8587542643336635,1.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,1.0,0.42857142857142855,1.0,1.0,0.0,0.20723684210526316,0.0,0.0,1.0
697,1.0,0.11764705882352941,0.5163265306122449,0.8302583025830258,0.03719599427753934,1.0,0.0,0.0,0.5220883534136547,1.0,0.3333333333333333,0.43820224719101125,0.3392857142857143,1.0,1.0,0.0,0.0,0.0,0.0,1.0
465,0.6374622356495468,0.29411764705882354,1.0,0.34686346863468637,0.1471332673049411,1.0,1.0,0.6666666666666666,1.0,0.012702078521939953,1.0,0.0,0.7857142857142857,0.11994784876140809,1.0,0.0,1.0,1.0,1.0,1.0
141,0.622356495468278,0.47058823529411764,1.0,1.0,0.2500825354902608,1.0,0.3971119133574007,1.0,0.5220883534136547,1.0,0.0,0.0,0.19642857142857142,1.0,1.0,0.0,0.20723684210526316,0.0,1.0,1.0
812,0.6374622356495468,0.47058823529411764,0.5163265306122449,0.34686346863468637,0.5160669087707714,1.0,0.4043321299638989,1.0,1.0,1.0,1.0,1.0,0.08928571428571429,1.0,1.0,0.3333333333333333,1.0,0.0,1.0,1.0
640,0.6374622356495468,0.20588235294117646,1.0,0.15129151291512916,0.027511830086937382,1.0,0.0,1.0,0.5220883534136547,1.0,0.0,0.7191011235955056,0.14285714285714285,1.0,1.0,0.0,0.0,0.0,0.0,1.0
793,0.0,0.29411764705882354,1.0,0.6346863468634686,0.14537251017937713,1.0,0.6895306859205776,0.6666666666666666,0.0,1.0,1.0,0.0,0.5714285714285714,1.0,0.0,0.0,1.0,0.0,0.0,1.0
737,0.6374622356495468,0.20588235294117646,1.0,0.8302583025830258,0.22724771651810277,0.0990990990990991,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,0.2857142857142857,1.0,1.0,0.0,0.29276315789473684,1.0,1.0,1.0
301,0.622356495468278,0.47058823529411764,0.0,1.0,0.19555408825795093,1.0,1.0,1.0,0.5220883534136547,1.0,0.0,1.0,0.4107142857142857,1.0,1.0,0.0,1.0,0.0,1.0,1.0
600,0.622356495468278,0.04411764705882353,1.0,1.0,0.11439418950148564,1.0,0.3971119133574007,0.0,0.5220883534136547,0.012702078521939953,0.0,0.7191011235955056,0.4642857142857143,1.0,1.0,0.0,1.0,0.0,0.0,1.0
886,0.622356495468278,0.29411764705882354,0.5163265306122449,0.3247232472324723,0.14168592494772753,0.24324324324324326,0.4043321299638989,1.0,1.0,1.0,0.6666666666666666,0.0,0.26785714285714285,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0
996,0.6374622356495468,0.38235294117647056,1.0,0.34686346863468637,0.19847034224716628,1.0,1.0,1.0,0.0,1.0,1.0,0.43820224719101125,0.375,1.0,1.0,0.0,0.20723684210526316,0.0,1.0,1.0
983,0.6374622356495468,0.47058823529411764,1.0,0.34686346863468637,0.43903378452734676,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,0.43820224719101125,0.125,1.0,1.0,0.0,1.0,1.0,0.0,1.0
666,0.622356495468278,0.38235294117647056,0.018367346938775512,0.6346863468634686,0.17860680092439749,0.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.26785714285714285,0.0,1.0,0.0,1.0,1.0,1.0,1.0
997,1.0,0.11764705882352941,1.0,1.0,0.03048310773632662,1.0,0.6895306859205776,1.0,1.0,1.0,1.0,1.0,0.3392857142857143,1.0,1.0,0.0,1.0,0.0,0.0,1.0
59,0.6374622356495468,0.47058823529411764,0.5163265306122449,0.6346863468634686,0.3289864641795972,1.0,0.3971119133574007,1.0,0.5220883534136547,0.0,1.0,0.0,0.07142857142857142,1.0,0.11735537190082644,0.3333333333333333,0.29276315789473684,0.0,1.0,1.0
806,0.622356495468278,0.029411764705882353,1.0,1.0,0.01870804445911742,1.0,0.3971119133574007,0.6666666666666666,0.08433734939759036,1.0,0.6666666666666666,0.7191011235955056,0.125,1.0,1.0,0.0,0.29276315789473684,0.0,0.0,0.0
682,1.0,0.16176470588235295,0.09795918367346938,1.0,0.06756905469351822,1.0,1.0,1.0,0.08433734939759036,1.0,0.6666666666666666,0.7191011235955056,0.25,0.11994784876140809,1.0,0.3333333333333333,1.0,0.0,0.0,1.0
51,0.622356495468278,0.3382352941176471,0.09795918367346938,0.34686346863468637,0.31446021789369427,1.0,0.6895306859205776,0.0,1.0,1.0,0.3333333333333333,1.0,0.19642857142857142,1.0,1.0,0.3333333333333333,0.20723684210526316,0.0,1.0,1.0
39,0.622356495468278,0.07352941176470588,1.0,1.0,0.011444921316165951,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.7191011235955056,0.08928571428571429,1.0,1.0,0.0,1.0,0.0,0.0,1.0
10,0.622356495468278,0.11764705882352941,1.0,0.8302583025830258,0.05749972488169913,1.0,0.3971119133574007,0.6666666666666666,0.5220883534136547,1.0,0.0,1.0,0.10714285714285714,1.0,0.11735537190082644,0.0,1.0,0.0,0.0,1.0
