,loc,v(g),ev(g),iv(g),n,v,l,d,i,e,b,t,lOCode,lOComment,lOBlank,locCodeAndComment,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount
300,0.07317073170731707,0.0,0.0,0.0,0.06238698010849909,0.04188881676815485,0.09,0.1041860465116279,0.30679581477260953,0.0057190268664276435,0.041666666666666664,0.005719149841725854,0.04961832061068702,0.0,0.0,0.0,0.21621621621621623,0.16666666666666666,0.06047197640117994,0.06542056074766354,0.0
1530,0.010452961672473868,0.0,0.0,0.0,0.0045207956600361665,0.001466127529101558,0.335,0.027906976744186046,0.04009116336890086,5.360163749461944e-05,0.0,5.375557506273331e-05,0.007633587786259542,0.0,0.0,0.0,0.08108108108108109,0.016666666666666666,0.004424778761061947,0.004672897196261682,0.0
256,0.18815331010452963,0.09090909090909091,0.0,0.045454545454545456,0.12839059674502712,0.09669496212819588,0.035,0.2651162790697674,0.27830726199109085,0.03359369484646271,0.09848484848484848,0.03359390932709104,0.16412213740458015,0.06818181818181818,0.10344827586206896,0.0,0.3783783783783784,0.23333333333333334,0.12536873156342182,0.13317757009345793,0.09090909090909091
159,0.15331010452961671,0.045454545454545456,0.0,0.045454545454545456,0.07504520795660036,0.05091793979406022,0.04,0.2267906976744186,0.17134569563866153,0.015129608667098454,0.04924242424242424,0.015129700564821465,0.09541984732824428,0.25,0.1206896551724138,0.0,0.35135135135135137,0.13333333333333333,0.07817109144542773,0.07009345794392523,0.045454545454545456
182,0.0975609756097561,0.06818181818181818,0.0,0.0,0.054249547920433995,0.035185797884028175,0.04,0.2318139534883721,0.11581891639904693,0.01069009383550073,0.03409090909090909,0.010690155082063151,0.08396946564885496,0.0,0.034482758620689655,0.0,0.32432432432432434,0.10833333333333334,0.048672566371681415,0.0630841121495327,0.06818181818181818
1311,0.017421602787456445,0.0,0.0,0.0,0.0081374321880651,0.0034095989048873445,0.2,0.046511627906976744,0.055941158189163995,0.00020781795122842115,0.003787878787878788,0.00020781794483015455,0.015267175572519083,0.0,0.0,0.0,0.13513513513513514,0.025,0.008849557522123894,0.007009345794392523,0.0
1284,0.1951219512195122,0.1590909090909091,0.0,0.1590909090909091,0.11211573236889692,0.08157402239222511,0.02,0.5034418604651163,0.12364031907179115,0.05381484331865748,0.08333333333333333,0.053814872449658185,0.1717557251908397,0.06818181818181818,0.10344827586206896,0.08333333333333333,0.5405405405405406,0.14166666666666666,0.11504424778761062,0.10747663551401869,0.1590909090909091
129,0.08710801393728224,0.045454545454545456,0.0,0.045454545454545456,0.06148282097649186,0.04128140303732122,0.045,0.20465116279069767,0.1539417797575883,0.011071001049218957,0.041666666666666664,0.011070877556991994,0.08015267175572519,0.0,0.017241379310344827,0.0,0.3783783783783784,0.11666666666666667,0.06784660766961652,0.0514018691588785,0.045454545454545456
306,0.24738675958188153,0.13636363636363635,0.0,0.13636363636363635,0.12839059674502712,0.09847931888842025,0.035,0.27199999999999996,0.27628716461203773,0.03510380783754461,0.09848484848484848,0.0351040530595235,0.17557251908396945,0.22727272727272727,0.20689655172413793,0.0,0.43243243243243246,0.24166666666666667,0.13126843657817108,0.12383177570093458,0.13636363636363635
945,0.03484320557491289,0.0,0.0,0.0,0.03164556962025317,0.01682826481723287,0.115,0.0826046511627907,0.15528851134362373,0.0018234408858451066,0.015151515151515152,0.0018232561026432226,0.022900763358778626,0.0,0.0,0.25,0.13513513513513514,0.075,0.028023598820058997,0.037383177570093455,0.0
