,loc,v(g),ev(g),iv(g),n,v,l,d,i,e,b,t,lOCode,lOComment,lOBlank,lOCodeAndComment,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount
192,0.003924646781789639,0.0,0.0,0.0,0.0035167043456417984,0.0014736255624795947,0.215,0.022505553945716218,0.05146243916542186,5.4142438076967135e-05,0.001774622892635315,4.2209253222261575e-05,0.0036133694670280035,0.0,0.0,0.0,0.06521739130434782,0.018461538461538463,0.0028363047001620746,0.004626569729015202,0.0
33,0.03453689167974882,0.027932960893854747,0.0,0.014084507042253521,0.025872896257221802,0.016255719429736776,0.035,0.14111851637206607,0.09066159109526334,0.0037393206869785513,0.015971606033717833,0.002914921369584417,0.031616982836495035,0.022727272727272728,0.04132231404958678,0.09090909090909091,0.32608695652173914,0.07076923076923076,0.02471636952998379,0.02775941837409121,0.027777777777777776
132,0.023547880690737835,0.0223463687150838,0.0,0.014084507042253521,0.018839487565938208,0.010305028366478819,0.04,0.1185163720660678,0.0684238423360478,0.001990841709043241,0.01064773735581189,0.0015519414590327507,0.022583559168925023,0.0,0.03305785123966942,0.0,0.21739130434782608,0.05846153846153846,0.017017828200972446,0.023793787177792465,0.022222222222222223
89,0.02197802197802198,0.027932960893854747,0.024193548387096774,0.02112676056338028,0.016578749058025623,0.009201361780250874,0.04,0.12035158891142665,0.060159976870813855,0.001805489889552779,0.008873114463176577,0.001407410703417205,0.022583559168925023,0.0,0.01652892561983471,0.0,0.2391304347826087,0.04,0.015802269043760128,0.01784534038334435,0.027777777777777776
178,0.01098901098901099,0.0111731843575419,0.0,0.007042253521126761,0.012057272042200452,0.006262686842590885,0.06,0.08210180623973727,0.06001541945742784,0.0008382275731795562,0.006211180124223603,0.0006533940127285073,0.01084010840108401,0.0,0.008264462809917356,0.0,0.1956521739130435,0.03076923076923077,0.012560777957860616,0.011235955056179775,0.011111111111111112
168,0.007849293563579277,0.00558659217877095,0.0,0.007042253521126761,0.006531022356191912,0.003040110532267757,0.075,0.06442577030812324,0.03715125524020624,0.00031912699460658056,0.0026619343389529724,0.0002487471006457428,0.008130081300813009,0.0,0.0,0.0,0.15217391304347827,0.018461538461538463,0.006482982171799027,0.006609385327164574,0.005555555555555556
268,0.002354788069073783,0.0,0.0,0.0,0.001004772670183371,0.0003433432225644811,0.335,0.014488554042306577,0.018647906326796127,8.107163042229276e-06,0.0,6.337921923466521e-06,0.0018066847335140017,0.0,0.0,0.0,0.043478260869565216,0.006153846153846154,0.0008103727714748784,0.0013218770654329147,0.0
162,0.002354788069073783,0.0,0.0,0.0,0.0007535795026375283,0.00023658447721928072,0.335,0.014488554042306577,0.012841516889124464,5.587935468509553e-06,0.0,4.377739885281e-06,0.0018066847335140017,0.0,0.0,0.0,0.043478260869565216,0.003076923076923077,0.0008103727714748784,0.0006609385327164573,0.0
199,0.02511773940345369,0.027932960893854747,0.024193548387096774,0.02112676056338028,0.020849032906304948,0.01218942372753039,0.025,0.1766637689558582,0.05430540162868019,0.0035096798222872603,0.012422360248447206,0.002735891410096806,0.023486901535682024,0.045454545454545456,0.024793388429752067,0.0,0.32608695652173914,0.043076923076923075,0.020664505672609402,0.021150033046926635,0.027777777777777776
295,0.002354788069073783,0.0,0.0,0.0,0.0007535795026375283,0.00023658447721928072,0.335,0.014488554042306577,0.012841516889124464,5.587935468509553e-06,0.0,4.377739885281e-06,0.0018066847335140017,0.0,0.0,0.0,0.043478260869565216,0.003076923076923077,0.0008103727714748784,0.0006609385327164573,0.0
97,0.002354788069073783,0.0,0.0,0.0,0.00552624968600854,0.002589712833761551,0.46,0.010431758910460737,0.1947429287331952,4.417728649145844e-05,0.0026619343389529724,3.4433864470792334e-05,0.0036133694670280035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520,0.002354788069073783,0.0,0.0,0.0,0.001004772670183371,0.0003433432225644811,0.335,0.014488554042306577,0.018647906326796127,8.107163042229276e-06,0.0,6.337921923466521e-06,0.0018066847335140017,0.0,0.0,0.0,0.043478260869565216,0.006153846153846154,0.0008103727714748784,0.0013218770654329147,0.0
136,0.002354788069073783,0.0,0.0,0.0,0.0007535795026375283,0.00023658447721928072,0.335,0.014488554042306577,0.012841516889124464,5.587935468509553e-06,0.0,4.377739885281e-06,0.0018066847335140017,0.0,0.0,0.0,0.043478260869565216,0.003076923076923077,0.0008103727714748784,0.0006609385327164573,0.0
257,0.002354788069073783,0.0,0.0,0.0,0.001004772670183371,0.0003433432225644811,0.335,0.014488554042306577,0.018647906326796127,8.107163042229276e-06,0.0,6.337921923466521e-06,0.0018066847335140017,0.0,0.0,0.0,0.043478260869565216,0.006153846153846154,0.0008103727714748784,0.0013218770654329147,0.0
415,0.002354788069073783,0.0,0.0,0.0,0.001004772670183371,0.0003433432225644811,0.335,0.014488554042306577,0.018647906326796127,8.107163042229276e-06,0.0,6.337921923466521e-06,0.0018066847335140017,0.0,0.0,0.0,0.043478260869565216,0.006153846153846154,0.0008103727714748784,0.0013218770654329147,0.0
290,0.002354788069073783,0.0,0.0,0.0,0.002009545340366742,0.0007473112174164029,0.0,0.0,0.0,0.0,0.0008873114463176575,0.0,0.0018066847335140017,0.0,0.0,0.0,0.13043478260869565,0.0,0.0032414910858995136,0.0,0.0
88,0.03532182103610675,0.01675977653631285,0.0,0.02112676056338028,0.02838482793268023,0.01670227263048817,0.03,0.15000482951801408,0.08762588541415699,0.0040837330895801376,0.01685891748003549,0.0031834009694145606,0.031616982836495035,0.022727272727272728,0.05785123966942149,0.09090909090909091,0.2608695652173913,0.055384615384615386,0.028363047001620744,0.028420356906807668,0.016666666666666666
74,0.01098901098901099,0.0,0.0,0.0,0.013564431047475508,0.0066483195404583115,0.085,0.05534627644161113,0.09456464125668577,0.0005995621927066229,0.006211180124223603,0.0004673727373047013,0.01084010840108401,0.0,0.008264462809917356,0.0,0.10869565217391304,0.033846153846153845,0.013371150729335495,0.013879709187045605,0.0
135,0.0031397174254317113,0.0,0.0,0.0,0.0007535795026375283,0.00018749319819627995,0.665,0.007244277021153289,0.02035850238519732,2.211891122951698e-06,0.0,1.6988244330941193e-06,0.0027100271002710027,0.0,0.0,0.0,0.0,0.006153846153846154,0.0,0.0019828155981493722,0.0
86,0.00706436420722135,0.00558659217877095,0.0,0.007042253521126761,0.0052750565184626974,0.0024770394764858693,0.085,0.05795421616922631,0.033633691514479834,0.00023402739403407047,0.0026619343389529724,0.00018242760835379926,0.007226738934056007,0.0,0.0,0.0,0.15217391304347827,0.018461538461538463,0.004862236628849271,0.005948446794448116,0.005555555555555556
138,0.002354788069073783,0.0,0.0,0.0,0.0007535795026375283,0.00023658447721928072,0.335,0.014488554042306577,0.012841516889124464,5.587935468509553e-06,0.0,4.377739885281e-06,0.0018066847335140017,0.0,0.0,0.0,0.043478260869565216,0.003076923076923077,0.0008103727714748784,0.0006609385327164573,0.0
498,0.03767660910518053,0.01675977653631285,0.0,0.02112676056338028,0.031399145943230344,0.018284135591295585,0.03,0.16101613059016712,0.0893846672770202,0.004798392783099385,0.018633540372670808,0.003740484704666886,0.03523035230352303,0.045454545454545456,0.04132231404958678,0.0,0.2391304347826087,0.055384615384615386,0.030388978930307942,0.03304692663582287,0.016666666666666666
298,0.18838304552590268,0.10614525139664804,0.024193548387096774,0.13380281690140844,0.15523737754333083,0.11854301815549279,0.01,0.5275765478605234,0.17679371657109813,0.10195884425922798,0.11889973380656611,0.079479893138716,0.14543812104787715,0.9772727272727273,0.2809917355371901,0.0,0.5869565217391305,0.18769230769230769,0.1539708265802269,0.15730337078651685,0.10555555555555556
252,0.002354788069073783,0.0,0.0,0.0,0.001004772670183371,0.0003433432225644811,0.335,0.014488554042306577,0.018647906326796127,8.107163042229276e-06,0.0,6.337921923466521e-06,0.0018066847335140017,0.0,0.0,0.0,0.043478260869565216,0.006153846153846154,0.0008103727714748784,0.0013218770654329147,0.0
189,0.003924646781789639,0.0,0.0,0.0,0.0035167043456417984,0.0014736255624795947,0.215,0.022505553945716218,0.05146243916542186,5.4142438076967135e-05,0.001774622892635315,4.2209253222261575e-05,0.0036133694670280035,0.0,0.0,0.0,0.06521739130434782,0.018461538461538463,0.0028363047001620746,0.004626569729015202,0.0
51,0.01726844583987441,0.0111731843575419,0.0,0.007042253521126761,0.009796533534287867,0.00542369914025201,0.075,0.06539167391094368,0.06526767214378644,0.0005781045205075462,0.005323868677905945,0.0004506458505788515,0.00993676603432701,0.13636363636363635,0.03305785123966942,0.0,0.21739130434782608,0.04,0.009319286871961102,0.010575016523463317,0.011111111111111112
350,0.03296703296703297,0.0111731843575419,0.0,0.014084507042253521,0.017834714895754836,0.010236123137488704,0.03,0.16101613059016712,0.0500409579337927,0.0026863208140668303,0.01064773735581189,0.0020940624713935933,0.026196928635953028,0.09090909090909091,0.049586776859504134,0.0,0.32608695652173914,0.036923076923076927,0.018638573743922204,0.016523463317911435,0.011111111111111112
176,0.004709576138147566,0.0,0.0,0.0,0.0025119316754584277,0.0010805995996990645,0.2,0.02414759007051096,0.035223823061726015,4.2538158754028964e-05,0.0008873114463176575,3.3192415846608176e-05,0.0027100271002710027,0.0,0.0,0.09090909090909091,0.08695652173913043,0.015384615384615385,0.002025931928687196,0.003304692663582287,0.0
