,attr1,attr2,attr3,attr4,attr5,attr6
216,0.0,0.0,1.0,1.0,1.0,1.0
214,0.0,0.0,1.0,1.0,0.6666666666666666,1.0
268,0.0,1.0,0.0,0.0,0.3333333333333333,1.0
299,0.0,1.0,1.0,0.5,0.3333333333333333,0.0
165,1.0,1.0,1.0,0.5,0.6666666666666666,1.0
169,0.0,0.0,0.0,0.0,0.0,0.0
400,0.5,0.5,1.0,0.5,1.0,1.0
316,0.5,0.0,0.0,0.0,0.3333333333333333,1.0
287,0.0,1.0,0.0,1.0,1.0,0.0
427,0.5,1.0,0.0,1.0,0.3333333333333333,0.0
210,0.0,0.0,1.0,1.0,0.0,1.0
94,0.5,1.0,0.0,0.0,0.0,0.0
53,0.0,1.0,1.0,0.5,0.0,1.0
44,0.0,1.0,0.0,0.5,0.3333333333333333,1.0
438,0.5,1.0,1.0,0.0,0.6666666666666666,1.0
151,1.0,0.5,1.0,0.5,0.3333333333333333,1.0
89,0.5,0.5,1.0,0.5,0.6666666666666666,0.0
366,0.5,0.5,0.0,0.0,0.6666666666666666,1.0
14,0.0,0.0,1.0,1.0,0.0,1.0
585,1.0,1.0,1.0,0.5,0.0,0.0
517,1.0,0.5,0.0,0.5,0.6666666666666666,0.0
258,0.0,0.5,1.0,1.0,0.0,1.0
582,1.0,1.0,1.0,0.0,0.6666666666666666,1.0
456,0.5,1.0,1.0,1.0,1.0,1.0
95,0.5,1.0,0.0,0.0,0.0,1.0
39,0.0,1.0,0.0,0.0,0.0,1.0
129,1.0,0.0,1.0,0.0,1.0,1.0
403,0.5,0.5,1.0,1.0,0.3333333333333333,0.0
531,1.0,0.5,1.0,0.0,0.3333333333333333,0.0
160,1.0,1.0,0.0,0.5,0.6666666666666666,1.0
259,0.0,0.5,1.0,1.0,0.3333333333333333,0.0
4,0.0,0.0,0.0,0.5,0.3333333333333333,0.0
564,1.0,1.0,0.0,0.5,0.3333333333333333,1.0
199,0.0,0.0,1.0,0.0,1.0,0.0
67,0.5,0.0,1.0,0.0,1.0,0.0
572,1.0,1.0,0.0,1.0,0.3333333333333333,1.0
161,1.0,1.0,1.0,0.0,0.0,0.0
77,0.5,0.5,0.0,0.5,0.0,0.0
134,1.0,0.0,1.0,1.0,1.0,1.0
159,1.0,1.0,0.0,0.0,0.6666666666666666,1.0
88,0.5,0.5,1.0,0.5,0.3333333333333333,1.0
279,0.0,1.0,0.0,0.5,1.0,0.0
535,1.0,0.5,1.0,0.0,1.0,0.0
444,0.5,1.0,1.0,0.5,0.3333333333333333,1.0
472,1.0,0.0,0.0,0.5,1.0,1.0
515,1.0,0.5,0.0,0.5,0.3333333333333333,0.0
498,1.0,0.0,1.0,1.0,0.0,1.0
231,0.0,0.5,0.0,0.5,1.0,0.0
227,0.0,0.5,0.0,0.5,0.3333333333333333,0.0
68,0.5,0.0,1.0,0.5,0.3333333333333333,0.0
448,0.5,1.0,1.0,0.5,1.0,1.0
360,0.5,0.0,1.0,1.0,1.0,1.0
138,1.0,0.5,0.0,0.0,0.6666666666666666,1.0
43,0.0,1.0,0.0,0.5,0.3333333333333333,0.0
180,0.0,0.0,0.0,0.5,0.3333333333333333,1.0
599,1.0,1.0,1.0,1.0,1.0,0.0
21,0.0,0.5,0.0,0.5,1.0,0.0
114,1.0,0.0,0.0,0.0,1.0,0.0
330,0.5,0.0,0.0,1.0,0.0,1.0
541,1.0,0.5,1.0,0.5,0.6666666666666666,0.0
391,0.5,0.5,1.0,0.0,1.0,0.0
596,1.0,1.0,1.0,1.0,0.3333333333333333,1.0
565,1.0,1.0,0.0,0.5,0.6666666666666666,0.0
385,0.5,0.5,1.0,0.0,0.0,0.0
496,1.0,0.0,1.0,0.5,1.0,1.0
246,0.0,0.5,1.0,0.0,0.6666666666666666,1.0
476,1.0,0.0,0.0,1.0,0.3333333333333333,1.0
270,0.0,1.0,0.0,0.0,0.6666666666666666,1.0
395,0.5,0.5,1.0,0.5,0.3333333333333333,0.0
394,0.5,0.5,1.0,0.5,0.0,1.0
269,0.0,1.0,0.0,0.0,0.6666666666666666,0.0
354,0.5,0.0,1.0,1.0,0.0,1.0
232,0.0,0.5,0.0,0.5,1.0,1.0
460,1.0,0.0,0.0,0.0,0.3333333333333333,1.0
518,1.0,0.5,0.0,0.5,0.6666666666666666,1.0
241,0.0,0.5,1.0,0.0,0.0,0.0
139,1.0,0.5,0.0,0.5,0.0,1.0
282,0.0,1.0,0.0,1.0,0.0,1.0
119,1.0,0.0,0.0,0.5,1.0,1.0
25,0.0,0.5,0.0,1.0,0.6666666666666666,0.0
547,1.0,0.5,1.0,1.0,0.3333333333333333,0.0
23,0.0,0.5,0.0,1.0,0.0,1.0
357,0.5,0.0,1.0,1.0,0.6666666666666666,0.0
513,1.0,0.5,0.0,0.5,0.0,0.0
143,1.0,0.5,0.0,1.0,0.6666666666666666,0.0
272,0.0,1.0,0.0,0.0,1.0,1.0
567,1.0,1.0,0.0,0.5,1.0,0.0
205,0.0,0.0,1.0,0.5,0.6666666666666666,0.0
489,1.0,0.0,1.0,0.5,0.0,0.0
75,0.5,0.5,0.0,0.0,0.6666666666666666,0.0
7,0.0,0.0,0.0,1.0,0.3333333333333333,0.0
154,1.0,0.5,1.0,1.0,0.6666666666666666,1.0
491,1.0,0.0,1.0,0.5,0.3333333333333333,0.0
152,1.0,0.5,1.0,0.5,0.6666666666666666,1.0
362,0.5,0.5,0.0,0.0,0.0,1.0
364,0.5,0.5,0.0,0.0,0.3333333333333333,1.0
445,0.5,1.0,1.0,0.5,0.6666666666666666,0.0
592,1.0,1.0,1.0,0.5,1.0,1.0
288,0.0,1.0,0.0,1.0,1.0,1.0
586,1.0,1.0,1.0,0.5,0.0,1.0
261,0.0,0.5,1.0,1.0,0.6666666666666666,0.0
303,0.0,1.0,1.0,0.5,1.0,0.0
90,0.5,0.5,1.0,1.0,0.0,0.0
106,0.5,1.0,1.0,0.0,0.6666666666666666,0.0
451,0.5,1.0,1.0,1.0,0.3333333333333333,0.0
96,0.5,1.0,0.0,0.0,0.6666666666666666,1.0
591,1.0,1.0,1.0,0.5,1.0,0.0
499,1.0,0.0,1.0,1.0,0.3333333333333333,0.0
371,0.5,0.5,0.0,0.5,0.3333333333333333,0.0
589,1.0,1.0,1.0,0.5,0.6666666666666666,0.0
365,0.5,0.5,0.0,0.0,0.6666666666666666,0.0
82,0.5,0.5,1.0,0.0,0.0,0.0
431,0.5,1.0,0.0,1.0,1.0,0.0
157,1.0,1.0,0.0,0.0,0.3333333333333333,0.0
447,0.5,1.0,1.0,0.5,1.0,0.0
