,loc,v(g),ev(g),iv(G),N,V,L,D,I,E,B,T,lOCode,lOComment,locCodeAndComment,lOBlank,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount
313,0.046511627906976744,0.02962962962962963,0.0,0.03278688524590164,0.040229885057471264,0.02333605343162178,0.03,0.0641025641025641,0.05831230257550181,0.0024549464814974872,0.023121387283236993,0.002454939362560324,0.04666666666666667,0.06289308176100629,0.0,0.02666666666666667,0.16326530612244897,0.04460966542750929,0.03841463414634146,0.04283216783216783,0.02127659574468085
809,0.0049833887043189366,0.0,0.0,0.0,0.0021551724137931034,0.0007574388006794978,0.25,0.007389344565137072,0.01642906088613307,9.183030392599014e-06,0.0011560693641618498,9.169010091799458e-06,0.005,0.0,0.0,0.0,0.030612244897959183,0.0055762081784386614,0.001829268292682927,0.0026223776223776225,0.0
307,0.0664451827242525,0.05925925925925926,0.0,0.03278688524590164,0.08836206896551724,0.0581593504759915,0.015,0.11545850883026675,0.08069125733290992,0.01101733954519619,0.057803468208092484,0.01101732269952481,0.06666666666666667,0.018867924528301886,0.0,0.07555555555555556,0.24489795918367346,0.08178438661710037,0.08292682926829269,0.09615384615384616,0.06808510638297872
136,0.006644518272425249,0.0,0.0,0.0,0.005028735632183908,0.0020726455120883766,0.145,0.012931352988989876,0.0256714522086474,4.39780699794163e-05,0.0023121387283236996,4.399442456890932e-05,0.006666666666666667,0.0,0.0,0.0,0.05102040816326531,0.011152416356877323,0.00426829268292683,0.006118881118881119,0.0
965,0.02159468438538206,0.014814814814814815,0.0,0.01639344262295082,0.01221264367816092,0.0051367071032340905,0.055,0.03447129239636444,0.023866428225226877,0.00029061837711173277,0.004624277456647399,0.0002906323841024506,0.021666666666666667,0.0,0.0,0.0,0.07142857142857142,0.011152416356877323,0.012195121951219513,0.012237762237762238,0.01702127659574468
716,0.016611295681063124,0.014814814814814815,0.0,0.00819672131147541,0.018318965517241378,0.009835525922716573,0.055,0.03395403827680484,0.04641251483295171,0.0005477736045409184,0.010404624277456647,0.0005477852634660373,0.015,0.012578616352201259,0.020833333333333332,0.013333333333333334,0.1326530612244898,0.02973977695167286,0.018292682926829267,0.018356643356643356,0.01702127659574468
772,0.013289036544850499,0.014814814814814815,0.0,0.01639344262295082,0.020114942528735632,0.010781071662190776,0.045,0.04204537057562994,0.04109772199288018,0.0007434072016376004,0.010404624277456647,0.000743404831984199,0.013333333333333334,0.0,0.0,0.0,0.1326530612244898,0.02973977695167286,0.018292682926829267,0.022727272727272728,0.01702127659574468
208,0.04318936877076412,0.02962962962962963,0.0,0.03278688524590164,0.0305316091954023,0.01776030164952054,0.045,0.039422153255006274,0.0721508197817258,0.00114907282669081,0.017341040462427744,0.0011490704390273447,0.043333333333333335,0.11320754716981132,0.0,0.06222222222222222,0.14285714285714285,0.048327137546468404,0.02926829268292683,0.032342657342657344,0.03404255319148936
910,0.008305647840531562,0.0,0.0,0.0,0.007543103448275862,0.0031380708785403518,0.115,0.015850144092219017,0.03175505156017582,8.152568203505842e-05,0.0034682080924855487,8.151165852251076e-05,0.008333333333333333,0.0,0.0,0.0044444444444444444,0.05102040816326531,0.013011152416356878,0.006707317073170732,0.008741258741258742,0.0
495,0.2159468438538206,0.2222222222222222,0.18032786885245902,0.09836065573770492,0.20079022988505746,0.1455215322697839,0.01,0.1577255597428508,0.14779469523507094,0.03766172464400166,0.14566473988439305,0.03766170895206627,0.21,0.37735849056603776,0.08333333333333333,0.14222222222222222,0.2653061224489796,0.14869888475836432,0.18658536585365854,0.22115384615384615,0.2553191489361702
