,LOC_BLANK,BRANCH_COUNT,CALL_PAIRS,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CONDITION_COUNT,CYCLOMATIC_COMPLEXITY,CYCLOMATIC_DENSITY,DECISION_COUNT,DECISION_DENSITY,DESIGN_COMPLEXITY,DESIGN_DENSITY,EDGE_COUNT,ESSENTIAL_COMPLEXITY,ESSENTIAL_DENSITY,LOC_EXECUTABLE,PARAMETER_COUNT,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,MAINTENANCE_SEVERITY,MODIFIED_CONDITION_COUNT,MULTIPLE_CONDITION_COUNT,NODE_COUNT,NORMALIZED_CYLOMATIC_COMPLEXITY,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,NUMBER_OF_LINES,PERCENT_COMMENTS,LOC_TOTAL
431,0.012987012987012988,0.003401360544217687,0.0,0.023809523809523808,0.0,0.003484320557491289,0.003355704697986577,0.13008130081300814,0.0035087719298245615,0.4,0.0,0.4897959183673469,0.003971405877680699,0.0,0.0,0.01346389228886169,0.14285714285714285,0.012452132232266133,0.021342439440828087,5.397660116378534e-05,0.0012924071082390954,0.003123698458975427,0.085,5.397973653766686e-05,0.001235625792059184,0.4897959183673469,0.0034602076124567475,0.003484320557491289,0.004162330905306972,0.06532663316582915,0.0034869240348692405,0.0028627661477903022,0.008894536213468869,0.07462686567164178,0.014606741573033709,0.08867362146050671,0.014687882496940025
899,0.012987012987012988,0.013605442176870748,0.16666666666666666,0.09523809523809523,0.0,0.006968641114982578,0.016778523489932886,0.13008130081300814,0.007017543859649123,0.4,0.04285714285714286,0.663265306122449,0.015091342335186657,0.028985507246376812,0.4,0.037943696450428395,0.14285714285714285,0.027392085862401334,0.07711734784619215,0.0015499114231019514,0.009693053311793215,0.01624323198667222,0.025,0.0015499129477936052,0.009821129944293969,0.4897959183673469,0.006920415224913495,0.006968641114982578,0.014568158168574402,0.07537688442211055,0.016687422166874223,0.015924136697083556,0.043202033036848796,0.31343283582089554,0.04044943820224719,0.12167340855865447,0.042839657282741736
251,0.24675324675324675,0.05272108843537415,0.3333333333333333,0.07142857142857142,0.15384615384615385,0.041811846689895474,0.06040268456375839,0.18699186991869918,0.042105263157894736,0.4,0.1,0.4081632653061224,0.05798252581413821,0.057971014492753624,0.22,0.09179926560587515,0.14285714285714285,0.028010784901138404,0.25347703909223496,0.017129174178203817,0.03295638126009693,0.048937942523948355,0.005,0.01712917918418267,0.03301720084601212,0.2448979591836735,0.04152249134948097,0.041811846689895474,0.05723204994797086,0.08040201005025126,0.05180572851805729,0.046877795670066204,0.06861499364675985,0.5373134328358209,0.12247191011235956,0.1774536938471365,0.09547123623011015
207,0.05194805194805195,0.003401360544217687,0.125,0.023809523809523808,0.01282051282051282,0.003484320557491289,0.003355704697986577,0.15447154471544716,0.0035087719298245615,0.4,0.014285714285714285,1.0,0.004765687053216839,0.0,0.0,0.011015911872705019,0.14285714285714285,0.013552765259072081,0.02667804930103511,9.180131534016259e-05,0.0016155088852988692,0.003540191586838817,0.065,9.179660740179069e-05,0.0016812524943300277,0.4897959183673469,0.0034602076124567475,0.003484320557491289,0.005202913631633715,0.06030150753768845,0.0037359900373599006,0.003399534800500984,0.01397712833545108,0.14925373134328357,0.016853932584269662,0.1935277836917181,0.012239902080783354
535,0.06493506493506493,0.017006802721088437,0.0,0.09523809523809523,0.02564102564102564,0.0156794425087108,0.016778523489932886,0.18699186991869918,0.014035087719298246,0.45,0.0,0.15306122448979595,0.015091342335186657,0.028985507246376812,0.4,0.025703794369645042,0.42857142857142855,0.023054679969781434,0.042933874008465836,0.0004045570881873769,0.004523424878836834,0.008642232403165348,0.04,0.0004045515871948207,0.004603301213813028,0.4897959183673469,0.01730103806228374,0.0156794425087108,0.014568158168574402,0.08542713567839195,0.009713574097135741,0.007872606906423331,0.026683608640406607,0.1791044776119403,0.035955056179775284,0.23653395784543324,0.030599755201958383
492,0.11688311688311688,0.003401360544217687,0.125,0.0,0.038461538461538464,0.003484320557491289,0.003355704697986577,0.07317073170731708,0.0035087719298245615,0.4,0.014285714285714285,1.0,0.008737092930897538,0.0,0.0,0.02447980416156671,0.14285714285714285,0.03387214421548962,0.05214669370042329,0.000876115961602137,0.008077544426494346,0.014264889629321115,0.035,0.0008761120157453697,0.008210755470291283,0.4897959183673469,0.0034602076124567475,0.003484320557491289,0.01040582726326743,0.025125628140703515,0.016687422166874223,0.012524601896582574,0.04066073697585769,0.19402985074626866,0.035955056179775284,0.13881200766446666,0.02447980416156671
513,0.025974025974025976,0.003401360544217687,0.08333333333333333,0.0,0.0,0.003484320557491289,0.003355704697986577,0.1951219512195122,0.0035087719298245615,0.4,0.014285714285714285,1.0,0.004765687053216839,0.0,0.0,0.009791921664626682,0.14285714285714285,0.012067887566103108,0.03201365916124213,0.00011772542332922595,0.0019386106623586429,0.004060807996668055,0.055,0.00011772777267890734,0.0017967255000912905,0.4897959183673469,0.0034602076124567475,0.003484320557491289,0.005202913631633715,0.08542713567839195,0.00448318804483188,0.003757380568974772,0.011435832274459974,0.11940298507462686,0.011235955056179775,0.0,0.009791921664626682
1130,0.7402597402597403,0.03741496598639456,0.20833333333333334,0.047619047619047616,0.1282051282051282,0.027874564459930314,0.0436241610738255,0.13008130081300814,0.028070175438596492,0.4,0.07142857142857142,0.4183673469387755,0.03971405877680699,0.0,0.0,0.1003671970624235,0.0,0.025034516893740068,0.14267420766193575,0.004849308415347684,0.016478190630048465,0.02655143690129113,0.01,0.004849311415339376,0.016607107945178327,0.05102040816326531,0.02768166089965398,0.027874564459930314,0.03850156087408949,0.04020100502512563,0.026400996264009963,0.026659509751297192,0.04701397712833545,0.40298507462686567,0.1696629213483146,0.13593783265914414,0.10281517747858017
797,0.025974025974025976,0.034013605442176874,0.041666666666666664,0.047619047619047616,0.05128205128205128,0.03484320557491289,0.03355704697986577,0.2926829268292683,0.03508771929824561,0.4,0.02857142857142857,0.25510204081632654,0.03653693407466243,0.07246376811594203,0.5,0.03427172582619339,0.14285714285714285,0.01714773230520749,0.10105645075232099,0.0016668204687678501,0.008077544426494346,0.015618492294877134,0.02,0.0016668219901589182,0.00805811997666842,0.5408163265306123,0.03460207612456748,0.03484320557491289,0.037460978147762745,0.1457286432160804,0.017185554171855542,0.014492753623188406,0.021601016518424398,0.19402985074626866,0.04044943820224719,0.18788588460719607,0.03671970624235006
1535,0.012987012987012988,0.006802721088435374,0.041666666666666664,0.0,0.0,0.006968641114982578,0.006711409395973154,0.23577235772357721,0.007017543859649123,0.4,0.014285714285714285,0.663265306122449,0.007942811755361398,0.028985507246376812,1.0,0.012239902080783354,0.0,0.009332586552739209,0.048376196065876995,0.00020792378387223074,0.0019386106623586429,0.004164931278633903,0.035,0.00020792926757317806,0.0020999498575707256,1.0,0.006920415224913495,0.006968641114982578,0.008324661810613945,0.12060301507537688,0.00398505603985056,0.0042941492216854536,0.012706480304955527,0.23880597014925373,0.012359550561797753,0.0,0.012239902080783354
