,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41
376,0.5874110320284697,0.2380577051686252,0.0,0.0,0.0,0.0,0.1111111111111111,0.6869851729818781,0.08333333333333333,0.0,0.0,0.5267588695129284,0.3880202068799615,0.2807837898018259,0.6567871962062835,0.0,0.025423728813559344,0.2788732394366197,0.0,0.0,0.0,0.5347043701799484,0.006802721088435374,0.0,0.0,0.0,0.6530392684238838,0.5115101289134439,0.0,0.0,0.0783361610015796,0.0,0.0,0.0,0.0,0.16089226388229713,0.08398347865993572,0.0,0.3166717775733416,0.0,0.0
45,0.5698398576512456,0.359260055412248,0.0,0.0,0.0,0.0,0.0,0.5485996705107083,0.041666666666666664,0.16666666666666666,0.0,0.4506915213469632,0.2836179937454895,0.20440881763527058,0.5939537640782454,0.1,0.19209039548022586,0.3295774647887324,0.0,0.0,0.0,0.4061696658097687,0.0,0.0,0.0,0.0,0.5379236148466918,0.3872007366482505,0.0,0.13489398176120954,0.06300824899081495,0.0,0.0,0.0,0.14285714285714285,0.14760322733744663,0.4793483249196879,0.0,0.28201983031789846,0.0,0.0
158,0.6832740213523131,0.28542084646985766,0.0,0.0,0.0,0.0,0.1111111111111111,0.7215815485996704,0.0,0.3333333333333333,0.0,0.4100020044097013,0.5446235265816695,0.4727232242262303,0.7356253704801423,0.3,0.16384180790960437,0.2676056338028168,0.0,0.0,0.0,0.4781491002570695,0.006802721088435374,0.0,0.0,0.0,0.7267348036578806,0.5059852670349908,0.0,0.3289305436508494,0.16954308781372493,0.0,0.0,0.0,0.0,0.18130042714760322,0.283845800826067,0.0,0.394459777164469,0.5,0.0
71,0.6777135231316724,0.2309400974491258,0.0,0.0,0.0,0.0,0.16666666666666666,0.8237232289950577,0.0,0.4166666666666667,0.0,0.25766686710763675,0.5027664180899687,0.2360276107771098,0.7536455245998815,0.3,0.3418079096045201,0.23098591549295797,0.0,0.0,0.0,0.4473007712082263,0.02040816326530612,0.0,0.0,0.0,0.7821409359870899,0.5055248618784531,0.0,0.4571360321497323,0.07640554612999474,0.0,0.0,0.0,0.14285714285714285,0.19447081158044613,0.4254245066544286,0.0,0.3965041398344066,0.5,0.0
29,0.5322508896797152,0.33938807681284033,0.0,0.0,0.0,0.0,0.0,0.6095551894563427,0.125,0.08333333333333333,0.0,0.7760072158749247,0.4063026220832331,0.48697394789579157,0.6387670420865441,0.025,0.05932203389830514,0.30704225352112674,0.0,0.0,0.0,0.5089974293059124,0.0,0.0,0.0,0.0,0.563743948359333,0.5119705340699816,0.0,0.14079559346326245,0.18955127830105892,0.0,0.0,0.0,0.0,0.13324632178452778,0.1918311151904543,0.0,0.3181028314422979,0.0,0.0
773,0.6105427046263345,0.12941864908760867,0.0,0.0,0.1111111111111111,0.0,0.16666666666666666,0.6589785831960461,0.08333333333333333,0.0,0.1590909090909091,0.5267588695129284,0.5756555208082751,0.4310843910042307,0.7510373443983404,0.0,0.04802259887005654,0.2985915492957743,0.0,0.0,0.0,0.5218508997429304,0.013605442176870748,0.0,0.0,0.3333333333333333,0.6901559978483055,0.5059852670349908,0.0,0.0,0.28110922599894694,0.0,0.25,0.4444444444444444,0.2857142857142857,0.1687233032747983,0.08926112895823772,0.25,0.39517530409894713,0.0,0.0
124,0.4975533807829181,0.2640799656061909,0.0,0.0,0.0,0.0,0.0,0.5238879736408567,0.0,0.3333333333333333,0.0,0.3868510723591902,0.5184026942506614,0.6564239590291695,0.6808535862477771,0.1,0.10734463276836169,0.3380281690140842,0.0,0.0,0.0,0.37917737789203076,0.0,0.0,0.0,0.0,0.5379236148466918,0.5059852670349908,0.0,0.28847640057892,0.3937284268413971,0.0,0.0,0.0,0.2857142857142857,0.1267204556241101,0.26686553464892143,0.0,0.34754165388940006,0.0,0.0
1029,0.4008007117437722,0.24679946498519154,0.16666666666666666,0.0,0.0,0.0,0.0,0.43986820428336076,0.08333333333333333,0.08333333333333333,0.0,0.5267588695129284,0.3983642049554968,0.43420173680694724,0.5002963841138115,0.0,0.1949152542372883,0.34647887323943666,0.0,0.0,0.0,0.4293059125964011,0.0,0.0,0.0,0.0,0.45615922538999465,0.5699815837937385,0.0,0.0,0.14280699701632246,0.0,0.0,0.0,0.0,0.15460370194589462,0.24437815511702612,0.0,0.35377696003270986,0.0,0.07407407407407407
705,0.682161921708185,0.08734594439667528,0.0,0.0,0.05555555555555555,0.0,0.2222222222222222,0.8434925864909391,0.0,0.3333333333333333,0.09090909090909091,0.3889557025456003,0.6514313206639403,0.13003785348474728,0.8264374629519858,0.3,0.17796610169491542,0.23380281690140836,0.0,0.0,0.0,0.5437017994858612,0.027210884353741496,0.0,0.0,0.0,0.7633136094674556,0.5059852670349908,0.0,0.6581842707996683,0.26344117474989764,0.0,0.16666666666666666,0.4444444444444444,0.0,0.1858092074038918,0.26525929325378617,0.25,0.45589287539609535,0.0,0.0
858,0.5874110320284697,0.27245151428298464,0.0,0.0,0.0,0.0,0.1111111111111111,0.7314662273476111,0.0,0.16666666666666666,0.0,0.5267588695129284,0.4063026220832331,0.2807837898018259,0.6567871962062835,0.1,0.15254237288135578,0.26478873239436646,0.0,0.0,0.0,0.49614395886889473,0.006802721088435374,0.0,0.0,0.0,0.6530392684238838,0.5124309392265194,0.0,0.14283305464611407,0.0783361610015796,0.0,0.08333333333333333,0.0,0.0,0.16575700047460845,0.2560807709958697,0.0,0.33476438720228974,0.0,0.0
