,X_Minimum,X_Maximum,Y_Minimum,Y_Maximum,Pixels_Areas,X_Perimeter,Y_Perimeter,Sum_of_Luminosity,Minimum_of_Luminosity,Maximum_of_Luminosity,Length_of_Conveyer,TypeOfSteel_A300,TypeOfSteel_A400,Steel_Plate_Thickness,Edges_Index,Empty_Index,Square_Index,Outside_X_Index,Edges_X_Index,Edges_Y_Index,Outside_Global_Index,LogOfAreas,Log_X_Index,Log_Y_Index,Orientation_Index,Luminosity_Index,SigmoidOfAreas,Pastry,Z_Scratch,K_Scatch,Stains,Dirtiness,Bumps
1902,0.6023460410557184,0.6108835576360445,0.06011139863503046,0.06011092547181381,0.00048475955271105056,0.0019144251938355509,0.0004958404495620076,0.0008354639792862909,0.5369458128078818,0.5138888888888888,0.8201058201058201,1.0,0.0,0.39615384615384613,0.764871382636656,0.5117067485962496,0.32772007663607944,0.012465690759377859,0.9539366883116883,0.6847414880201765,0.0,0.3235504946033957,0.36825213659803113,0.19844083875361024,0.16356483582992892,0.6216331505179769,0.16242905788876277,0.0,0.0,0.0,0.0,0.0,0.0
1107,0.5741935483870968,0.5781158572264482,0.05527176788076126,0.05527153290879386,0.00037339587168283626,0.0012443763759931081,0.0005509338328466751,0.0006108100963803118,0.5517241379310345,0.48148148148148145,0.2345679012345679,0.0,1.0,0.5192307692307693,0.5438102893890675,0.5786629939612248,0.767268327115055,0.00926349496797804,0.864752435064935,0.9044766708701135,0.0,0.3010219755463166,0.29313764379214596,0.23481344072134688,0.3834165531850507,0.5907982937233395,0.13825198637911462,0.0,0.0,0.0,0.0,0.0,1.0
619,0.02404692082111437,0.12580456407255705,0.13080122262247545,0.1308053451791885,0.04338597996763902,0.03340671963243036,0.009476061924962812,0.059192157060326295,0.20689655172413793,0.4027777777777778,0.2310405643738977,0.0,1.0,0.0,0.06069131832797428,0.4796058904544973,0.3768276696581628,0.14821591948764865,0.4998985389610389,0.36223203026481715,0.0,0.7209535707702706,0.7029677977714471,0.43029563012186817,0.18812730115499068,0.4925655088360756,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1790,0.1249266862170088,0.1304856641310708,0.7310358433732388,0.7310343881904647,0.0003537434573837396,0.0013400976356848855,0.0003856536829926726,0.0005913987585716154,0.5812807881773399,0.47685185185185186,0.2345679012345679,1.0,0.0,0.23076923076923078,0.3147106109324759,0.45407352473779,0.49581526671372395,0.010064043915827997,0.8731737012987013,0.8686422866750736,0.0,0.2963933889036804,0.3047491976488406,0.19844083875361024,0.2476421042013416,0.6033516148689823,0.09648127128263337,0.0,0.0,0.0,0.0,0.0,0.0
1362,0.37653958944281524,0.43300175541252195,0.07209087717700763,0.07209077165893946,0.003498129745239203,0.011103666124246195,0.002809762547518043,0.005259092184356981,0.5221674876847291,0.4166666666666667,0.781305114638448,0.0,1.0,0.0,0.7726085209003216,0.595507998728679,0.1103156196430372,0.06816102470265324,0.8624188311688311,0.19167717528373265,0.0,0.49730681794908554,0.615772961667448,0.25341066522647754,0.05477379331215012,0.5430225472273005,0.997616345062429,0.0,0.0,0.0,0.0,0.0,0.0
1214,0.624633431085044,0.6296079578700995,0.24850355702036886,0.24850303921864686,0.0006747328909356515,0.0018187039341437733,0.0006060272161313426,0.000865659393655374,0.4187192118226601,0.3425925925925926,0.23809523809523808,1.0,0.0,0.15384615384615385,0.416097266881029,0.31783027863121094,0.6639104567913683,0.01086459286367795,0.7101258116883118,0.8248213535098782,0.0,0.35230507710897657,0.31556741552774875,0.23481344072134688,0.3317193725727543,0.4656307129798903,0.16685584562996597,0.0,0.0,0.0,0.0,0.0,1.0
102,0.10498533724340176,0.11059098888238736,0.09810654059267931,0.09810762956969003,0.0017294124583205046,0.0020101464535273285,0.0014875213486860229,0.0020961656655017562,0.2413793103448276,0.41203703703703703,0.7037037037037037,0.0,1.0,0.3076923076923077,0.22126205787781353,0.34050217184023734,0.49581526671372395,0.008119853613906679,0.6029829545454546,1.0,1.0,0.4349847420484568,0.3047491976488406,0.3398220114119332,0.7520048418822818,0.43869591712370504,0.5973893303064699,1.0,0.0,0.0,0.0,0.0,0.0
376,0.5489736070381231,0.5488589818607372,0.04768156781141348,0.047681420984937335,0.0003275402383182774,0.0006700488178424428,0.0005509338328466751,0.0007377171093429444,0.7832512315270936,0.6666666666666666,0.2821869488536155,0.0,1.0,0.0,0.6447950160771705,0.22470600699226614,0.5415952404961177,0.003202195791399817,0.6618303571428571,1.0,1.0,0.28979867696151723,0.17208178572716457,0.24453471716721067,0.729056337317799,0.8051188299817185,0.05959137343927357,0.0,0.0,1.0,0.0,0.0,0.0
824,0.7794721407624633,0.7782328847279111,0.12912823245819702,0.12912927602933771,0.0005699200146738027,0.0013400976356848855,0.0014875213486860229,0.0008915411774003025,0.541871921182266,0.44907407407407407,0.2275132275132275,0.0,1.0,0.0,0.03265675241157556,0.3859519016845005,0.17172532015730563,0.002516010978956999,0.3024553571428571,1.0,1.0,0.33760009830626503,0.1435216905268472,0.3398220114119332,0.9141070257729359,0.5655088360755637,0.15232690124858114,0.0,0.0,0.0,0.0,1.0,0.0
899,0.21818181818181817,0.2205968402574605,0.08665036739609716,0.08664993242414587,0.00023582897158915973,0.0008614913372259979,0.0003856536829926726,0.00034974917100646664,0.4729064039408867,0.4074074074074074,0.8165784832451499,1.0,0.0,0.07692307692307693,0.44232315112540194,0.500264858565526,0.8879701522637895,0.00434583714547118,0.8155438311688312,1.0,0.0,0.2619042742744793,0.23554866395009197,0.21206001831544838,0.44378877288545926,0.5385740402193785,0.06617480136208856,0.0,0.0,0.0,0.0,0.0,1.0
