,top-left-square,top-middle-square,top-right-square,middle-left-square,middle-middle-square,middle-right-square,bottom-left-square,bottom-middle-square,bottom-right-square
456,0.6103286384976526,0.0,1.0,0.0,0.0,1.0,0.6103286384976526,0.0,1.0
121,1.0,0.625,1.0,0.625,1.0,1.0,1.0,0.625,0.6103286384976526
738,1.0,0.0,0.0,0.625,0.6040268456375839,0.625,0.0,1.0,1.0
407,0.6103286384976526,0.625,1.0,0.0,0.0,0.625,1.0,1.0,1.0
183,1.0,0.625,0.6103286384976526,0.0,1.0,0.0,0.6103286384976526,1.0,1.0
873,0.6103286384976526,0.0,0.0,1.0,0.6040268456375839,0.0,1.0,1.0,0.6103286384976526
865,0.6103286384976526,0.0,1.0,0.0,0.6040268456375839,1.0,0.0,1.0,0.6103286384976526
284,1.0,0.0,0.0,1.0,0.0,0.625,1.0,0.0,0.6103286384976526
630,1.0,1.0,0.6103286384976526,1.0,0.6040268456375839,1.0,0.6103286384976526,0.0,0.6103286384976526
522,0.0,1.0,0.0,0.625,1.0,0.0,0.0,1.0,0.6103286384976526
337,0.6103286384976526,1.0,0.6103286384976526,0.0,1.0,1.0,0.0,1.0,0.6103286384976526
339,0.6103286384976526,1.0,0.6103286384976526,0.0,1.0,0.625,0.0,1.0,1.0
158,1.0,0.625,0.6103286384976526,1.0,0.6040268456375839,1.0,1.0,1.0,0.6103286384976526
901,0.0,1.0,0.6103286384976526,1.0,0.0,0.625,0.0,1.0,0.6103286384976526
834,0.6103286384976526,0.625,0.6103286384976526,0.625,1.0,1.0,0.0,1.0,1.0
286,1.0,0.0,0.0,0.625,1.0,1.0,0.6103286384976526,0.625,1.0
774,0.6103286384976526,1.0,0.6103286384976526,1.0,1.0,0.625,1.0,0.0,0.6103286384976526
84,1.0,1.0,0.6103286384976526,1.0,0.0,0.625,1.0,0.625,0.0
950,1.0,0.625,0.6103286384976526,0.625,1.0,1.0,1.0,1.0,0.6103286384976526
95,1.0,1.0,0.6103286384976526,0.625,1.0,0.0,0.0,0.625,1.0
928,0.0,0.0,1.0,1.0,1.0,0.0,0.6103286384976526,0.625,0.6103286384976526
478,0.6103286384976526,0.0,0.0,1.0,0.6040268456375839,0.625,1.0,1.0,1.0
125,1.0,0.625,1.0,0.625,1.0,0.625,1.0,0.0,0.0
315,0.6103286384976526,1.0,1.0,0.0,0.6040268456375839,1.0,0.6103286384976526,0.0,1.0
688,1.0,0.625,1.0,0.0,0.6040268456375839,0.0,1.0,0.625,0.0
728,1.0,0.0,0.6103286384976526,0.0,1.0,0.625,1.0,0.0,0.6103286384976526
519,0.0,1.0,0.0,0.625,1.0,0.625,0.6103286384976526,1.0,1.0
157,1.0,0.625,0.6103286384976526,1.0,1.0,0.0,0.0,0.625,1.0
191,1.0,0.625,0.0,1.0,1.0,0.625,1.0,0.0,0.6103286384976526
488,0.0,1.0,1.0,0.625,1.0,0.0,1.0,0.625,0.6103286384976526
160,1.0,0.625,0.6103286384976526,1.0,0.6040268456375839,0.625,1.0,1.0,1.0
403,0.6103286384976526,0.625,1.0,0.0,0.6040268456375839,0.0,1.0,1.0,1.0
444,0.6103286384976526,0.0,1.0,0.625,0.0,0.625,1.0,1.0,1.0
306,0.6103286384976526,1.0,1.0,0.625,0.6040268456375839,1.0,1.0,0.625,1.0
72,1.0,1.0,1.0,0.0,0.0,0.625,0.6103286384976526,0.0,0.0
164,1.0,0.625,0.6103286384976526,1.0,0.0,1.0,1.0,0.0,0.6103286384976526
359,0.6103286384976526,1.0,0.0,0.0,1.0,0.625,1.0,1.0,0.6103286384976526
501,0.0,1.0,0.6103286384976526,0.625,1.0,1.0,0.6103286384976526,1.0,0.0
765,0.6103286384976526,1.0,1.0,0.625,0.0,0.0,0.6103286384976526,1.0,0.0
549,0.0,0.625,1.0,0.625,0.0,0.625,1.0,1.0,1.0
119,1.0,0.625,1.0,1.0,0.0,0.625,1.0,0.0,0.6103286384976526
536,0.0,0.625,1.0,0.625,1.0,1.0,0.6103286384976526,0.0,1.0
369,0.6103286384976526,0.625,1.0,1.0,1.0,1.0,0.0,0.625,0.0
214,1.0,0.625,0.0,0.625,0.6040268456375839,0.0,1.0,1.0,1.0
891,0.0,1.0,0.6103286384976526,1.0,1.0,0.625,1.0,0.625,0.6103286384976526
66,1.0,1.0,1.0,0.0,0.6040268456375839,0.0,0.6103286384976526,0.0,0.0
319,0.6103286384976526,1.0,0.6103286384976526,1.0,1.0,1.0,0.6103286384976526,1.0,0.6103286384976526
533,0.0,0.625,1.0,1.0,0.0,1.0,0.6103286384976526,0.625,1.0
779,0.6103286384976526,1.0,0.6103286384976526,1.0,0.6040268456375839,0.0,1.0,1.0,0.6103286384976526
923,0.0,0.625,0.6103286384976526,1.0,0.6040268456375839,1.0,0.6103286384976526,1.0,1.0
408,0.6103286384976526,0.625,0.0,1.0,1.0,1.0,1.0,0.625,0.0
880,0.0,1.0,1.0,1.0,0.6040268456375839,1.0,0.6103286384976526,0.625,0.6103286384976526
573,0.0,0.625,0.6103286384976526,0.0,1.0,0.625,1.0,1.0,1.0
757,0.6103286384976526,1.0,1.0,0.625,0.6040268456375839,0.625,1.0,1.0,0.0
16,1.0,1.0,1.0,0.625,1.0,0.625,0.0,0.625,0.0
371,0.6103286384976526,0.625,1.0,1.0,1.0,0.625,1.0,1.0,0.6103286384976526
5,1.0,1.0,1.0,1.0,0.6040268456375839,0.625,0.0,0.0,0.6103286384976526
430,0.6103286384976526,0.0,1.0,1.0,0.0,1.0,0.6103286384976526,0.625,1.0
564,0.0,0.625,0.6103286384976526,1.0,1.0,1.0,0.6103286384976526,1.0,0.0
719,1.0,0.0,0.6103286384976526,1.0,0.6040268456375839,1.0,0.6103286384976526,1.0,0.6103286384976526
174,1.0,0.625,0.6103286384976526,0.625,1.0,0.0,1.0,0.0,1.0
135,1.0,0.625,1.0,0.625,0.0,1.0,0.0,0.625,1.0
391,0.6103286384976526,0.625,1.0,0.625,0.0,0.0,1.0,1.0,1.0
73,1.0,1.0,1.0,0.0,0.0,0.625,0.0,0.625,0.0
356,0.6103286384976526,1.0,0.0,0.625,0.6040268456375839,0.0,1.0,1.0,1.0
327,0.6103286384976526,1.0,0.6103286384976526,1.0,1.0,0.0,0.0,1.0,0.6103286384976526
105,1.0,1.0,0.0,0.625,1.0,0.625,0.6103286384976526,1.0,0.0
899,0.0,1.0,0.6103286384976526,1.0,0.6040268456375839,0.0,0.6103286384976526,0.0,1.0
545,0.0,0.625,1.0,0.625,0.6040268456375839,0.0,1.0,1.0,1.0
80,1.0,1.0,0.6103286384976526,1.0,0.6040268456375839,0.625,1.0,0.625,1.0
28,1.0,1.0,1.0,0.625,0.6040268456375839,0.0,1.0,0.0,0.6103286384976526
