,Result
8327,0
10437,1
975,1
4135,1
6430,1
4388,0
573,0
620,1
3700,1
10130,0
4164,1
9318,1
483,0
7817,1
1047,1
3633,0
1300,0
8479,0
9905,0
4754,0
10200,0
3170,1
3460,0
3549,0
4284,0
8219,1
9840,0
1898,1
10911,1
6849,1
9139,1
6775,0
8814,1
4366,1
494,1
195,1
9344,0
1102,0
3699,0
9005,1
6665,1
7591,1
5457,1
3723,0
278,0
487,0
1202,1
9769,0
4048,0
2973,0
6540,0
4875,0
3557,1
10868,0
5111,0
9911,0
2557,1
315,0
7718,1
772,0
11044,1
10404,1
10535,1
6648,0
6625,0
394,1
8107,0
6776,0
1633,1
5554,0
7873,0
7313,1
10742,1
3048,0
5220,0
8614,1
9104,0
5346,1
9711,1
1878,0
7399,1
7588,0
461,0
680,1
6990,1
2967,1
6761,0
1844,0
376,1
2213,0
1284,1
6785,0
7667,1
9133,0
377,0
4224,1
5949,0
3521,0
3417,1
7543,0
5409,0
10109,0
26,0
4286,1
780,0
8320,1
1992,0
8747,0
4313,0
7858,1
10005,1
3800,1
2722,1
191,0
7809,1
10030,1
6628,1
1166,1
1365,1
6515,1
7537,0
8744,0
7540,1
7240,1
6493,0
8847,0
473,1
7278,0
9315,1
633,0
1709,0
3314,0
6314,0
7400,0
5240,1
6891,1
2785,0
6411,0
844,1
4243,0
721,1
859,0
2811,1
8732,1
6629,1
8353,1
10192,1
10263,1
5109,1
10245,1
8707,1
8434,1
9703,0
2416,1
1789,1
10620,0
3046,0
848,0
6020,1
7737,0
3652,1
9597,0
3171,1
4751,0
638,1
9960,0
4487,1
6444,0
5103,0
9540,1
10468,0
262,1
1859,1
4571,0
5597,1
7521,0
2527,0
6186,1
7323,1
8190,0
3987,0
6565,1
5848,0
9672,1
5441,1
898,0
6393,0
10159,1
4031,0
4570,1
2144,0
10987,1
8534,1
5820,0
5518,1
3082,1
7449,0
8357,0
10277,1
612,0
5833,0
6692,1
7905,0
9629,0
811,0
10320,0
10933,1
3597,1
3184,0
4046,0
7364,0
5452,1
268,1
2430,1
2488,1
9690,0
7074,1
1164,1
10057,0
7696,1
1374,0
1524,1
3406,1
10257,1
492,0
7949,0
1729,1
10562,1
1613,1
6073,1
10054,1
7879,0
2649,0
8188,0
1642,0
2222,0
2978,1
3581,0
9372,0
4850,1
7,0
9612,1
8538,0
4510,1
8050,1
9815,0
5263,0
10578,1
9530,1
5689,0
4280,0
5147,0
6482,0
10801,1
5465,1
4672,1
11039,0
8256,1
5931,1
10767,0
3126,1
1957,1
6611,1
3003,0
8742,1
962,1
1117,0
6878,1
1174,0
1816,1
5014,1
10265,0
11036,1
2784,1
9708,1
4338,1
4706,1
8773,0
3530,0
4039,0
8039,1
1258,1
5910,0
8853,1
7826,0
10067,1
9119,0
10670,0
2492,1
4607,1
8261,0
3999,0
8195,1
2990,0
2240,0
423,1
2682,1
9674,1
3472,1
8390,1
3856,0
7790,1
8573,0
7472,1
2898,0
2140,0
10400,1
10212,1
5064,1
1424,1
5156,0
806,0
2701,1
6035,1
5846,0
1025,1
7497,1
517,1
6614,0
10511,1
5106,0
9446,1
9791,1
8451,1
3083,0
9453,1
9697,0
7795,1
4412,0
8018,1
9943,1
9045,1
3641,0
4801,1
3834,1
8121,1
9155,0
634,1
86,0
2677,1
719,0
2939,1
2189,0
6392,1
801,0
1924,0
7855,0
6907,0
1809,1
9316,1
8774,0
5423,1
8202,0
827,1
7377,1
865,1
8521,1
560,1
9820,1
540,0
10869,1
1667,1
10033,0
7531,1
9365,0
5460,1
428,1
4771,1
393,0
10525,1
2871,1
6583,0
10325,0
10770,0
8495,1
1328,0
10962,0
8175,0
10477,1
9855,1
4119,1
7829,0
2449,1
4422,1
10393,0
7083,0
3946,1
10800,1
8815,1
2006,1
8365,0
4499,1
1823,0
5276,0
10021,0
8827,1
3290,1
11024,1
225,0
5917,1
6152,0
2780,0
10726,0
10396,1
11050,1
6149,1
2145,1
10592,1
3141,1
6547,1
1798,1
6219,0
4945,1
5121,1
8360,0
8310,1
1737,1
7414,1
5386,0
4540,0
8994,0
6416,1
4212,1
5801,1
10624,1
7671,1
5332,0
1494,0
9366,0
9150,1
6214,0
3677,0
10778,0
5761,0
9647,1
3618,1
238,1
313,1
5261,1
9370,1
1659,1
10687,1
4409,0
6194,1
10961,0
1402,0
3174,1
5744,0
10707,1
10151,0
7758,0
8816,1
9835,0
1664,0
5160,1
408,1
3208,0
4,1
9181,0
7772,0
5508,1
7629,1
9124,1
3233,1
2040,1
672,1
9200,0
1489,1
4653,1
9806,1
1465,1
2436,1
6425,1
7933,1
10472,1
10870,1
4735,0
8388,1
5198,1
6185,0
2725,1
3127,1
5930,1
10991,1
234,1
3917,1
7059,0
5485,1
7287,1
1860,1
10181,0
5249,1
2067,0
3455,1
3552,0
6935,0
3564,1
6496,0
1867,0
7530,1
5804,0
4903,0
7954,1
2391,1
4597,1
7937,0
7964,1
2085,1
6316,0
5228,1
2199,1
4856,0
4270,0
7961,0
3956,1
5524,1
2948,0
6512,1
7476,0
656,0
9918,0
666,1
3951,1
1626,1
73,1
3678,0
7141,1
5979,1
2512,0
10091,1
10217,1
9158,1
9141,1
7597,0
4176,0
167,1
2031,1
3380,1
2587,0
9106,1
7196,1
5628,1
4656,0
7645,1
7169,1
10352,1
8058,1
8727,0
4642,1
3792,0
2293,0
3459,0
5442,1
3283,1
8242,1
9796,1
9393,0
4612,0
9448,1
6078,1
3199,1
206,1
7256,0
7468,0
5046,1
10113,1
3317,1
9112,0
8743,0
446,0
9275,0
2036,0
4211,1
3845,1
10659,1
3443,0
9910,1
10584,0
9718,0
8158,1
6024,1
10370,1
10259,0
10222,0
4131,1
3774,0
5150,1
8197,0
7033,0
3866,0
7102,1
4235,0
8165,0
7883,0
10433,0
7027,1
1943,1
9837,0
1899,1
5550,1
5724,0
8778,1
4614,1
6340,1
9241,0
7604,0
2155,0
2401,1
863,0
4823,1
6910,1
9670,0
1918,0
6463,0
7349,0
6657,0
6235,1
5502,1
10356,0
3273,1
285,0
1184,0
5315,0
8015,1
8348,1
4379,1
1985,1
5576,1
960,0
8863,1
5880,1
9223,1
9754,1
2981,1
10359,0
2493,1
10470,0
6331,1
1463,1
10348,0
774,1
8876,1
2225,0
1542,1
1920,1
43,0
4992,1
715,1
2434,1
4344,0
9534,1
1639,1
4940,1
8293,1
2834,0
9380,0
5151,0
1150,1
3553,0
8748,0
1889,0
4441,1
7266,1
3371,1
5696,1
3957,1
9279,0
4881,0
10781,1
3089,1
9374,0
3198,0
4086,1
6635,1
10095,1
9995,1
3275,0
5652,1
484,1
2183,1
8281,1
357,1
9145,0
344,1
10873,0
2738,1
9892,0
9220,1
7324,1
2421,0
9865,0
6432,1
9760,1
382,0
8912,0
10467,1
1528,1
4929,1
3469,1
4719,0
8228,0
2903,1
2299,1
8995,1
3879,1
10777,1
9701,0
7501,0
5099,0
4931,0
8288,0
9069,1
6900,1
5169,0
830,1
3582,0
10313,1
1224,1
4000,1
9467,0
4486,0
7705,1
8173,0
10475,1
8504,1
10555,1
230,0
8185,1
907,1
4166,1
5055,0
7745,1
6780,1
4275,1
4419,1
2732,0
5329,1
5595,1
1781,1
1028,0
2553,0
922,1
1566,0
6739,1
6717,1
1772,1
8193,0
7840,1
5077,1
4527,0
8665,1
7697,0
8397,0
7606,1
765,0
3147,0
10595,1
6312,1
318,1
5455,0
9925,0
3882,0
4886,1
6118,1
9154,1
2143,0
6989,1
3562,0
5635,1
10049,1
5152,0
1931,0
8597,0
3712,0
9258,0
9538,1
2450,1
8875,0
1119,1
5583,1
29,1
7252,0
1481,1
8809,0
4259,0
5093,0
9092,1
1185,1
1387,1
3135,1
10605,1
2081,1
8229,1
8526,1
2943,0
7638,0
5221,0
1583,0
8463,1
3807,1
1086,0
6092,0
5272,1
4331,1
5320,0
7294,1
5564,1
2628,1
9794,0
8546,0
1726,0
3547,1
10735,0
3714,0
937,1
9667,0
5443,1
1588,0
7332,1
4111,1
10899,1
9622,0
6557,1
2242,0
5783,1
8277,1
8411,1
5146,1
3457,1
650,0
10312,1
8203,1
10078,1
5831,1
3226,0
8996,0
4252,0
8669,1
9242,0
6329,1
3348,1
6102,0
