,binaryClass
2427,0
4661,0
98,1
5092,0
4864,1
5203,0
678,1
4708,1
7031,0
4148,1
3679,1
4815,1
5301,1
6720,0
2362,1
3092,1
4777,0
3541,0
5331,0
5829,0
5553,0
1765,1
2232,0
4716,0
399,1
4104,0
1246,1
3251,1
4943,0
6196,0
5392,1
587,1
5424,0
4631,1
1553,1
2664,0
2925,0
2149,0
4613,0
4261,0
6211,0
555,1
4044,1
246,1
4730,0
7059,0
3218,0
692,0
2659,1
1396,0
3894,1
2441,0
809,1
285,0
4254,0
635,0
3012,1
4932,0
5740,1
1540,1
5472,0
6622,0
6435,1
3750,1
789,0
2292,1
5497,0
2742,0
6376,0
5948,1
4487,1
1622,1
3609,1
3492,0
525,1
6095,0
6160,1
2731,1
2725,1
2227,0
5407,1
3291,1
916,1
5159,1
1557,0
2165,1
3300,0
5869,0
4440,1
4962,0
753,1
647,0
2804,0
3829,0
4832,0
943,0
680,0
195,0
2542,0
4096,1
1314,1
2202,1
4322,0
1939,1
1050,0
4403,0
6116,1
3722,1
6517,0
5299,0
2879,1
1951,1
5341,0
3674,1
6799,1
3008,1
2594,1
5264,1
4277,0
1770,0
1219,1
1887,1
151,0
487,1
4282,1
978,1
1238,0
5152,1
242,0
3678,1
4926,0
4327,0
2866,0
1094,1
1022,0
6621,1
3400,0
76,1
459,0
5806,0
5328,1
89,1
4635,1
2003,1
6921,1
2610,1
3566,0
5162,0
3028,1
4849,1
5642,1
1653,1
1210,0
3264,0
6128,1
3743,1
4350,0
4135,1
6014,1
2277,1
5076,1
3449,0
1020,1
2703,0
4906,1
2756,1
1764,1
5731,1
4498,1
3496,1
5709,0
1282,0
950,0
6464,0
1138,1
328,1
939,0
3614,0
225,1
1962,1
934,1
2257,0
3395,0
1628,0
2624,0
5229,0
4525,1
6463,1
6511,1
1428,0
3517,1
4384,1
4690,1
6070,1
4848,1
4092,1
4857,1
2490,1
4250,0
4335,0
6578,1
4482,1
5471,1
6232,0
6683,0
6828,0
4707,0
4971,0
4938,0
1090,0
3756,1
2862,0
3252,1
4377,0
4952,1
2899,0
1320,0
1041,0
3981,0
4605,1
4575,0
4907,0
5643,1
6177,0
6832,1
4527,1
1637,1
2668,1
2036,1
1611,1
1417,1
2584,1
1499,0
561,1
1794,1
733,0
6707,0
2812,0
2499,1
5240,1
2990,1
1851,0
3220,0
30,0
1703,1
5150,0
1893,1
2516,0
6723,0
4116,0
5590,1
4237,1
3989,1
6565,1
3490,1
6459,1
2910,1
3737,0
1697,1
280,0
4488,0
5482,0
980,0
4243,1
2013,0
2440,1
6482,0
7021,1
3173,0
3973,1
3587,0
3424,1
3074,0
198,1
5881,1
6439,1
4959,0
759,1
3552,1
2192,1
6708,1
4446,0
3141,1
4645,0
6913,1
764,1
1667,1
5868,1
2186,0
3858,0
2018,0
6229,1
3042,1
5338,1
3691,1
6203,0
674,1
3510,1
4416,1
3772,1
4077,1
5015,1
3397,1
234,1
3751,0
215,1
2341,0
3416,1
6204,1
2271,0
4240,0
834,1
1830,0
33,1
1352,0
6826,0
3551,0
6359,0
5316,0
591,1
4804,0
4371,1
5980,0
1546,1
3795,0
1735,1
2945,0
3445,1
3954,0
1311,1
3881,0
4646,0
2336,0
6226,0
3746,0
4477,0
6243,0
2113,0
3314,0
1463,0
1030,0
5139,0
6907,1
6082,1
1968,1
1289,1
6755,1
4780,1
4904,0
2160,1
1935,0
4526,0
4308,1
3128,1
6366,1
1227,0
742,0
6444,0
3322,1
1720,1
6677,1
4417,1
4434,1
5377,0
2049,0
6519,1
7057,1
3696,1
1469,1
450,0
5312,1
702,1
4283,1
5285,1
507,0
3950,0
5859,1
5833,1
4674,1
6221,0
1368,0
7116,1
2814,1
6853,0
6094,1
7114,0
3120,0
289,1
4263,0
2706,1
2353,0
6035,0
5773,0
6466,1
6758,0
1539,1
80,1
4301,0
1543,0
1742,0
1538,0
5906,1
1647,1
4034,1
723,1
3160,0
2569,1
235,1
1780,1
2310,1
3997,0
574,1
5802,0
3641,1
461,1
3513,0
5075,1
5698,1
2928,1
5822,0
2936,1
3762,0
160,1
2744,0
6000,1
2800,0
5755,0
5267,1
6839,1
6996,1
4193,0
106,0
1181,0
6672,1
5598,1
2665,1
4212,1
5636,0
2653,1
700,1
1638,1
6665,1
2065,0
5741,0
5813,0
2272,1
2484,0
6542,1
6752,1
5408,0
357,0
325,1
6806,1
3687,0
6230,1
3371,1
2830,1
5421,1
174,0
2792,0
5959,1
1384,1
3780,0
6876,1
6108,1
4420,1
4121,1
5640,1
4010,0
6836,0
5933,1
1783,1
5398,0
4537,0
6522,0
1913,0
6357,1
1172,1
4890,1
1119,1
3340,0
6984,1
3854,1
531,1
2551,1
5974,1
286,0
4357,0
421,1
2648,0
4970,1
3578,1
1008,0
3777,1
7063,1
6121,0
1137,0
3649,0
1888,0
2850,0
878,1
258,1
4426,1
5086,1
5305,0
2116,0
2963,0
1255,1
1336,0
91,1
543,1
2933,1
429,1
1573,0
5950,0
1642,0
1613,0
6560,1
5689,0
5988,0
5762,1
6966,0
6877,0
2088,1
7072,1
5221,1
2556,0
3940,1
165,1
1230,0
1560,1
6888,1
3061,1
3456,0
5821,1
2547,1
4641,1
5997,0
4456,0
1288,1
3133,1
5864,1
6427,1
5792,0
3785,1
4415,0
2941,1
1568,1
7105,0
3125,1
6706,0
2006,0
5964,0
2916,0
6926,0
3203,1
2987,1
4232,0
928,1
6819,1
7012,1
1143,0
3792,1
5346,0
2940,0
542,0
5913,1
1215,0
4992,1
5999,1
805,1
3588,0
4775,1
4983,0
6658,1
5270,0
7104,0
5046,1
175,1
4976,1
2835,1
1598,0
7,1
1917,0
5675,0
6102,0
3535,0
2566,0
1872,1
5772,1
3626,1
2930,0
3172,0
936,1
4465,1
5817,0
5871,0
257,1
3863,0
874,1
780,1
3952,0
5491,0
2167,0
1875,1
1762,1
4994,1
4344,1
4286,0
2330,0
1878,1
987,1
1562,0
1258,1
3377,1
1127,0
6378,1
6460,1
4351,0
4898,1
5534,0
1160,1
6433,0
6985,1
5170,0
121,0
4570,0
6325,1
3320,0
5560,1
1284,0
5800,1
4295,1
4574,0
5411,1
3593,0
5135,1
3080,1
4589,1
6005,1
6264,0
825,1
6941,0
3299,0
3083,0
5814,1
6346,0
5954,1
2595,0
5347,1
4800,1
5375,0
1123,1
4827,1
3830,0
3655,1
1060,1
5214,1
5473,0
1999,0
853,0
2194,0
6757,1
1111,1
276,0
899,0
6510,0
6159,0
4749,1
180,1
5399,1
5710,1
2479,1
2803,1
4606,0
917,1
2580,0
2217,1
2497,0
4211,0
462,0
5227,1
6626,1
3393,1
309,1
4089,1
402,0
672,0
2263,1
3280,1
3666,0
676,1
4816,0
7091,1
4032,0
2948,1
3763,1
5201,1
2430,0
6947,0
1502,1
7077,1
196,1
6262,1
3714,0
5850,1
4236,1
1459,1
3380,1
3404,1
4924,1
2005,0
5034,0
652,0
3749,0
4411,0
6852,0
2027,1
2970,0
6373,0
5633,1
6189,1
617,0
149,0
6490,1
2180,1
6552,0
6787,1
2745,1
3499,0
371,0
346,1
6457,1
3778,1
573,0
1472,1
273,1
6361,0
3583,1
5297,0
3005,1
6635,1
2023,1
1630,0
1836,0
4819,0
7022,1
712,1
5927,0
1019,0
3296,0
5552,1
3007,1
6844,0
6657,1
2169,0
3489,0
1623,0
5371,0
5484,1
406,1
6344,0
334,1
5694,0
2131,1
451,1
5747,1
681,1
7075,0
6987,1
5734,0
1838,1
5209,0
1910,1
3776,1
7019,0
1073,1
3758,0
6743,0
2260,0
2509,0
704,1
2492,0
4294,0
3195,0
2994,0
1578,0
6044,1
1607,1
3402,0
5008,0
5661,1
1427,1
4670,0
5296,1
277,1
2905,0
2190,0
1360,0
762,0
3639,1
6134,1
318,1
1473,0
2448,1
3526,1
2370,0
990,0
6235,0
7120,0
6345,1
614,1
6968,0
1547,1
6493,1
1669,0
1503,0
4968,0
1156,1
3949,1
4241,1
2816,1
5733,0
293,1
4255,0
2852,0
6576,1
637,0
6057,1
3417,1
6646,0
2629,1
5544,1
5860,0
2696,0
64,0
5793,1
4743,0
4873,0
201,1
2576,0
5775,1
6438,1
2782,1
5892,0
4218,0
3956,0
3481,1
2245,0
873,1
3979,1
965,0
1566,0
3521,1
3670,1
4490,1
6850,1
5825,1
1419,0
4361,0
1911,1
5679,0
841,1
4285,1
509,0
2611,1
1200,1
3716,1
5475,1
3833,0
4711,0
772,0
2269,1
3215,0
1808,1
5991,1
3506,1
3941,0
544,1
137,0
751,1
4618,0
7085,0
5972,1
3390,0
1715,1
732,0
1958,0
3153,1
1956,1
4534,1
111,1
4931,0
5120,1
3477,1
2010,1
2887,0
2922,1
6870,0
220,0
6534,0
2989,1
3193,0
6625,1
2720,1
2513,0
623,1
6068,1
1371,1
5370,1
5721,0
5754,0
5147,1
2794,1
5163,1
255,0
4949,1
6174,1
