,problems
192,0
33,0
132,0
89,0
178,0
168,0
268,0
162,0
199,0
295,0
97,0
520,1
136,0
257,0
415,0
290,0
88,0
74,0
135,0
86,0
138,0
498,1
298,0
252,0
189,0
51,0
350,0
176,0
332,0
68,0
212,0
215,0
408,0
405,0
146,0
412,0
49,0
426,1
281,0
284,0
40,0
506,1
278,0
473,1
453,1
367,0
462,1
190,0
142,0
383,0
19,0
467,1
202,0
175,0
150,0
180,0
419,0
469,1
353,0
210,0
436,1
287,0
221,0
96,0
237,0
366,0
29,0
317,0
294,0
179,0
519,1
197,0
326,0
504,1
489,1
427,1
248,0
357,0
486,1
308,0
67,0
12,0
341,0
328,0
293,0
250,0
100,0
503,1
235,0
309,0
416,0
351,0
511,1
423,1
483,1
99,0
282,0
213,0
163,0
47,0
201,0
324,0
376,0
108,0
77,0
422,1
113,0
275,0
359,0
83,0
386,0
226,0
177,0
413,0
385,0
388,0
404,0
11,0
156,0
518,1
512,1
3,1
440,1
371,0
194,0
36,0
53,0
271,0
154,0
27,0
432,1
107,0
227,0
52,0
306,0
167,0
182,0
193,0
397,0
246,0
123,0
410,0
439,1
417,0
292,0
69,0
373,0
58,0
494,1
434,1
220,0
63,0
216,0
465,1
344,0
345,0
184,0
457,1
395,0
451,1
0,0
372,0
481,1
251,0
187,0
32,0
208,0
487,1
393,0
25,0
311,0
203,0
446,1
84,0
472,1
205,0
315,0
438,1
59,0
514,1
510,1
401,0
337,0
259,0
85,0
157,0
224,0
392,0
444,1
378,0
115,0
217,0
463,1
106,0
41,0
232,0
279,0
493,1
460,1
234,0
110,0
365,0
22,0
111,0
66,0
26,0
28,0
420,0
164,0
270,0
92,0
263,0
206,0
355,0
273,0
38,0
145,0
458,1
348,0
276,0
119,0
129,0
291,0
389,0
379,0
104,0
148,0
447,1
101,0
396,0
95,0
515,1
204,0
20,0
7,0
505,1
4,1
349,0
441,1
488,1
134,0
155,0
8,0
327,0
431,1
390,0
374,0
255,0
94,0
409,0
391,0
245,0
497,1
16,0
172,0
320,0
277,0
502,1
381,0
13,0
207,0
15,0
43,0
399,0
105,0
114,0
499,1
384,0
260,0
316,0
57,0
521,1
18,0
411,0
354,0
161,0
363,0
312,0
492,1
428,1
485,1
477,1
195,0
474,1
265,0
91,0
139,0
218,0
225,0
301,0
126,0
230,0
394,0
321,0
98,0
297,0
37,0
42,0
124,0
1,1
254,0
173,0
495,1
253,0
242,0
9,0
23,0
338,0
507,1
171,0
331,0
267,0
475,1
82,0
429,1
334,0
285,0
360,0
283,0
81,0
186,0
496,1
256,0
181,0
223,0
482,1
421,1
437,1
122,0
50,0
231,0
39,0
329,0
147,0
387,0
310,0
425,1
466,1
362,0
61,0
433,1
445,1
75,0
370,0
461,1
200,0
356,0
307,0
233,0
240,0
319,0
361,0
300,0
280,0
501,1
102,0
165,0
456,1
302,0
14,0
76,0
400,0
339,0
272,0
318,0
