,c
261,1
343,1
321,1
372,1
326,1
423,1
151,1
144,1
344,1
148,1
333,1
16,1
258,1
305,1
179,1
296,1
113,1
176,1
40,1
86,1
395,1
415,1
25,1
158,1
414,1
363,1
33,1
334,1
340,0
140,1
309,1
204,1
30,1
154,0
373,1
412,1
149,0
358,0
209,1
368,1
254,1
284,1
143,1
5,1
234,1
87,0
280,1
276,1
382,1
69,1
114,1
71,1
335,1
307,1
165,1
142,1
371,1
6,1
311,1
19,0
7,1
262,1
391,1
329,1
136,1
216,1
180,1
405,1
9,1
297,0
331,1
255,1
268,1
377,1
201,1
60,1
320,1
244,0
39,1
316,1
3,1
413,1
288,0
66,1
122,1
383,1
439,1
163,0
290,1
115,1
72,1
207,1
313,1
146,1
257,1
174,1
24,1
211,1
212,1
81,1
99,1
433,1
271,1
286,1
339,1
52,1
41,1
196,0
302,1
269,1
390,1
308,0
183,1
70,1
190,1
351,1
157,1
388,1
109,1
26,1
303,1
177,1
230,1
18,1
78,1
95,1
274,0
259,1
164,1
42,1
68,0
359,1
120,1
2,1
328,1
92,1
131,1
49,1
197,1
430,0
426,1
241,1
59,1
51,1
175,1
346,1
317,1
399,1
170,1
295,0
155,0
48,1
366,1
54,1
80,1
214,1
88,1
364,1
123,1
225,1
348,1
23,1
298,1
407,1
443,0
226,1
421,1
34,1
237,1
374,1
217,1
457,1
375,1
300,1
400,1
379,1
184,0
310,1
8,1
133,1
252,1
76,1
13,1
145,1
246,1
124,1
264,1
161,1
449,1
15,1
353,1
304,1
450,1
37,1
438,1
451,0
384,1
263,1
437,1
287,1
10,1
152,1
418,1
231,1
360,1
147,1
352,1
448,1
322,1
45,1
431,1
213,0
227,1
318,1
67,1
195,1
260,1
27,1
229,1
56,1
159,1
242,1
55,1
46,1
380,1
43,1
220,1
121,0
191,1
301,1
205,1
168,1
187,1
323,1
0,1
50,1
125,1
119,1
103,1
285,1
82,1
447,1
394,1
12,1
361,1
223,0
35,1
137,1
452,1
218,1
422,1
389,1
233,1
22,1
94,1
456,1
178,0
429,1
440,0
446,1
53,1
417,1
150,1
189,0
289,1
336,1
419,1
97,1
357,1
266,1
63,1
62,1
47,1
222,1
93,1
387,1
420,1
250,1
181,1
111,1
278,1
441,1
398,1
210,1
376,1
350,1
224,0
327,1
410,1
267,1
319,1
315,1
235,1
167,1
132,1
28,1
425,1
332,1
138,1
160,1
112,1
79,1
32,1
270,1
453,1
367,1
36,1
11,1
139,1
57,1
355,0
89,1
83,1
354,1
173,0
240,1
432,0
232,1
135,1
14,1
