,c
200,1
170,1
324,1
219,1
241,1
4,1
285,1
162,1
310,1
371,0
346,1
361,1
112,1
382,1
236,1
22,1
355,1
188,1
171,1
64,0
394,1
293,1
276,0
93,1
376,1
357,1
390,1
130,1
326,1
295,0
37,1
106,1
96,1
113,1
196,1
40,1
34,1
71,1
1,1
142,1
297,1
62,1
323,1
199,1
193,1
316,1
305,1
161,1
127,1
260,1
397,1
182,1
202,1
167,1
384,1
366,1
69,1
120,1
150,1
138,1
252,1
217,0
374,0
57,0
372,1
198,1
164,1
321,1
159,1
32,1
331,1
253,1
275,1
176,1
41,1
292,1
262,1
246,1
213,0
218,1
61,1
152,1
99,1
320,1
237,1
136,1
186,1
195,0
209,1
318,1
109,1
273,1
314,1
155,1
207,1
38,1
274,1
80,1
290,1
9,1
183,1
231,1
344,1
234,1
396,1
175,1
119,1
24,1
51,1
304,1
349,1
312,1
137,1
65,1
197,1
146,1
383,1
358,1
27,1
359,1
63,1
160,1
84,1
211,1
206,1
139,1
278,1
299,1
134,1
329,0
147,1
35,1
255,1
47,0
0,1
187,1
53,1
362,1
163,1
43,1
172,1
52,1
266,1
10,1
402,1
103,1
373,1
36,1
308,1
229,1
261,1
282,1
153,1
116,1
247,1
392,1
149,1
348,1
354,1
124,1
257,1
77,1
157,1
189,1
369,0
78,1
313,1
271,1
226,1
356,1
286,1
49,1
259,1
330,1
332,1
131,1
351,1
45,1
68,1
70,1
265,1
381,1
248,1
249,1
224,1
143,1
203,1
28,1
230,1
291,1
388,0
107,1
185,0
301,1
168,1
214,1
300,1
378,1
235,1
88,0
221,1
251,1
94,1
254,1
380,1
263,1
277,1
243,1
283,1
296,1
240,1
375,1
353,0
60,1
337,1
245,1
360,1
338,1
302,1
148,0
58,1
279,1
307,1
242,1
42,1
364,1
25,1
151,1
345,1
294,1
166,1
122,1
335,1
298,1
140,1
317,1
363,1
180,1
19,1
379,1
55,1
91,1
342,1
86,1
92,1
67,1
194,0
154,1
215,1
322,1
118,1
204,1
90,1
31,0
208,1
73,1
258,1
343,1
39,1
105,1
244,1
173,1
16,1
327,0
269,1
333,1
303,1
268,1
225,1
377,1
228,1
74,0
117,1
250,1
2,1
393,0
389,1
306,1
220,1
395,1
18,1
339,1
