,defects
313,0
809,0
307,0
136,0
965,0
716,0
772,0
208,0
910,0
495,0
340,0
737,0
284,0
1022,0
465,0
109,0
719,0
535,0
458,0
189,0
37,1
572,0
28,1
134,0
808,0
1045,0
810,0
501,0
473,0
228,0
600,0
234,0
288,0
400,0
848,0
271,0
584,0
563,0
717,0
778,0
1040,0
170,0
829,0
984,0
920,0
939,0
260,0
347,0
157,0
927,0
701,0
867,0
634,0
507,0
886,0
766,0
319,0
257,0
819,0
352,0
585,0
1010,0
440,0
624,0
968,0
106,0
389,0
773,0
464,0
169,0
911,0
117,0
267,0
957,0
718,0
302,0
98,0
114,0
786,0
956,0
190,0
605,0
406,0
366,0
378,0
691,0
568,0
112,0
334,0
462,0
329,0
944,0
174,0
754,0
763,0
703,0
626,0
536,0
486,0
275,0
1031,0
1078,0
193,0
125,0
466,0
1085,0
1061,0
607,0
976,0
873,0
341,0
941,0
776,0
9,1
481,0
666,0
573,0
870,0
741,0
5,1
1103,0
248,0
399,0
21,1
71,1
192,0
327,0
1032,0
251,0
84,0
104,0
326,0
293,0
372,0
54,1
791,0
966,0
653,0
825,0
713,0
908,0
891,0
725,0
1004,0
92,0
503,0
746,0
113,0
567,0
421,0
342,0
641,0
884,0
6,1
494,0
547,0
890,0
553,0
900,0
70,1
1075,0
917,0
623,0
422,0
546,0
729,0
147,0
649,0
17,1
333,0
278,0
255,0
256,0
304,0
915,0
43,1
659,0
303,0
822,0
416,0
24,1
879,0
999,0
576,0
781,0
1033,0
280,0
120,0
949,0
14,1
616,0
476,0
437,0
1073,0
872,0
591,0
806,0
955,0
770,0
1076,0
686,0
414,0
828,0
376,0
761,0
689,0
457,0
895,0
801,0
332,0
514,0
566,0
850,0
723,0
907,0
254,0
655,0
740,0
642,0
217,0
425,0
621,0
678,0
1094,0
122,0
913,0
460,0
612,0
647,0
630,0
540,0
285,0
882,0
69,1
611,0
522,0
16,1
874,0
943,0
153,0
395,0
299,0
262,0
1028,0
1098,0
986,0
935,0
875,0
905,0
335,0
218,0
1104,0
528,0
724,0
490,0
743,0
990,0
560,0
851,0
206,0
67,1
651,0
865,0
755,0
64,1
681,0
887,0
613,0
932,0
1070,0
149,0
912,0
800,0
222,0
660,0
565,0
281,0
49,1
1035,0
1034,0
300,0
1082,0
654,0
95,0
731,0
469,0
344,0
745,0
967,0
906,0
238,0
558,0
216,0
693,0
674,0
140,0
969,0
345,0
242,0
385,0
720,0
818,0
937,0
662,0
534,0
738,0
991,0
213,0
1064,0
56,1
950,0
141,0
845,0
436,0
948,0
4,1
744,0
929,0
747,0
38,1
898,0
102,0
831,0
479,0
105,0
145,0
171,0
380,0
1005,0
531,0
107,0
128,0
511,0
838,0
595,0
398,0
813,0
597,0
23,1
3,1
606,0
449,0
74,1
618,0
1086,0
617,0
704,0
636,0
1081,0
225,0
780,0
411,0
988,0
108,0
317,0
75,1
283,0
664,0
792,0
733,0
590,0
1047,0
551,0
805,0
632,0
533,0
72,1
578,0
1037,0
1048,0
1036,0
55,1
433,0
675,0
739,0
246,0
89,0
214,0
877,0
158,0
429,0
137,0
187,0
1107,0
178,0
732,0
148,0
424,0
1002,0
29,1
705,0
643,0
837,0
1056,0
1049,0
644,0
360,0
902,0
367,0
557,0
839,0
1052,0
362,0
499,0
295,0
1055,0
356,0
80,0
10,1
727,0
259,0
844,0
903,0
96,0
896,0
861,0
452,0
922,0
435,0
1024,0
381,0
