,c
3493,1
4147,1
4820,1
1594,1
3392,1
8,1
2630,1
4455,1
5060,0
1690,1
3814,1
1066,1
2320,1
1714,1
3920,1
2811,1
1014,1
4211,1
3578,1
1189,1
5568,1
3661,1
4490,1
2918,1
5071,1
4302,1
2800,1
4127,1
2371,1
3895,1
885,1
1943,1
863,1
3958,1
3156,1
2709,1
4473,1
3393,1
2183,1
4138,1
3497,1
4034,1
2017,1
4585,1
3934,1
1739,1
4193,1
5129,1
385,1
5024,1
4656,1
586,1
398,1
1661,1
4144,1
4419,1
1545,1
1150,1
2665,1
715,1
172,1
682,1
764,1
3892,1
490,1
609,1
1333,1
2257,1
300,1
2807,1
1971,1
1186,1
81,1
904,1
4693,1
474,1
932,1
2118,1
2570,1
935,1
5319,1
3561,1
3597,1
4259,1
5234,1
4074,1
408,1
1001,1
4334,1
4148,1
3598,1
4401,1
517,1
4518,1
1230,1
3282,1
1920,1
4544,1
3093,1
3828,1
2186,1
2493,1
3435,1
2139,1
797,1
1720,1
3466,1
5268,1
136,1
1028,1
1921,1
3922,1
3306,1
3995,1
2930,1
762,1
2842,1
3936,1
3829,1
2092,1
1056,1
2272,1
4206,1
3120,1
869,1
4992,1
3146,1
2876,1
4204,1
5121,1
844,1
4374,1
3334,1
1585,1
4796,1
1370,1
2511,1
4115,1
4329,1
2664,1
5265,1
777,1
3518,1
4876,1
2551,1
228,1
2477,1
3771,1
760,1
3882,1
1807,1
5370,1
2018,1
222,1
3514,1
416,1
2502,1
926,1
2296,1
2993,1
2389,1
2651,1
4175,1
4554,1
2652,1
5222,1
812,1
2726,1
2423,1
1511,1
3418,1
1449,1
2161,1
3488,0
2078,1
2219,1
3010,1
1034,1
2670,1
2914,1
4324,1
2806,1
4591,1
3595,1
5297,1
4810,1
3030,1
1477,1
2638,1
4532,1
2314,1
1736,1
4976,1
4342,1
825,1
4691,1
3363,1
556,1
220,1
170,1
3774,1
5008,1
1591,1
2448,1
1953,1
3397,1
5215,1
5072,1
749,1
1386,1
5314,1
536,1
5547,1
2985,1
1775,1
442,1
1011,1
1369,1
4879,1
955,1
4818,0
2628,1
1282,1
4971,1
2915,1
3084,1
795,1
4660,1
5566,1
963,1
3975,1
4345,1
4688,1
2685,1
5270,1
5102,1
3051,1
3646,1
3898,1
1443,1
1223,1
4499,1
1897,1
3822,1
1716,1
2083,1
1738,1
3188,1
672,1
2273,1
132,1
4583,1
2330,1
5581,1
1232,1
2959,1
2623,1
2875,1
3473,1
1564,1
268,1
4987,1
4105,1
3290,1
2271,1
4295,1
2386,1
920,1
707,1
3609,1
2250,1
4033,1
1620,1
2090,1
5260,1
3139,1
1350,1
4997,1
1050,1
5461,1
2103,1
3385,1
2660,1
168,1
2281,1
2208,1
3288,1
1651,1
5109,1
1472,1
5044,1
291,1
5114,1
2178,1
146,1
3663,1
4481,1
2344,1
3409,1
905,1
1859,1
2339,1
4821,1
2940,1
5064,1
2866,1
5579,1
1899,1
1959,1
3286,1
4834,1
2343,1
3346,1
5282,1
2209,1
4911,1
2763,1
319,1
4129,1
1323,1
4995,1
2373,1
4956,1
4700,1
2153,1
5292,1
3269,1
2769,1
4314,1
2130,1
3852,1
1007,1
2991,1
1052,1
5226,1
1942,1
5540,1
4938,1
4186,1
3444,1
1297,1
59,1
5016,1
334,1
4471,1
5063,1
4045,1
3568,1
2557,1
4806,1
3447,1
4584,1
340,1
5158,1
5143,1
2745,1
2094,1
3793,1
1480,1
5437,1
5303,1
3374,1
1463,1
1334,1
728,1
4386,1
401,1
1462,1
2536,1
1686,1
957,1
3103,1
2671,1
5098,1
5200,1
2101,1
5091,1
4853,1
3224,1
1460,1
5294,1
2347,1
3944,1
2783,1
3914,1
5549,1
3630,1
27,1
2253,1
4414,1
1993,1
4613,1
55,1
823,1
4829,1
3428,1
3721,1
2684,1
2868,1
3747,1
2637,1
2556,1
3967,1
2700,1
2446,1
761,1
3461,1
3335,1
3149,1
545,1
1353,1
2307,1
1396,1
2748,1
4580,1
703,1
1112,1
1024,1
2440,1
3301,1
5074,1
3042,1
4325,1
4155,1
674,1
1949,1
1383,1
2625,1
1961,1
4308,1
4924,1
568,1
4571,1
2689,1
4748,1
3327,1
3632,1
829,1
3270,1
2429,1
817,1
5013,1
316,1
4402,1
3604,0
3867,1
1801,1
4266,1
386,1
358,1
4099,1
3082,1
1793,1
2599,1
3768,1
692,1
883,1
2134,1
1204,1
4256,1
5302,1
3171,1
1910,1
1808,1
4752,1
4577,1
1730,1
2869,1
5430,1
4817,1
2049,1
5507,1
3566,1
2122,1
2751,1
1123,1
1102,1
69,1
4106,1
2988,1
986,1
1473,1
4445,1
467,1
2326,1
4536,1
3534,1
4168,1
4946,1
5208,1
4234,1
1873,1
3679,1
3104,1
1854,1
3283,1
1691,1
979,1
1743,1
5541,1
4883,1
36,1
3094,1
958,1
4931,1
936,1
5341,1
1765,1
941,1
4241,1
2197,1
4104,1
1483,1
875,1
3088,1
1611,1
3058,1
2387,1
773,1
1623,1
1031,1
5431,1
150,1
183,1
26,1
3636,1
5464,1
4420,1
602,1
4284,1
2215,1
5479,1
1090,1
452,1
3992,1
2028,1
2100,1
944,1
1399,1
1996,1
4801,1
91,1
1700,1
2957,1
4803,1
2340,1
5357,1
4322,1
3620,1
46,1
543,1
2579,1
1298,1
201,1
2164,1
5419,1
4475,1
3833,1
5538,1
4116,1
285,1
4667,1
4800,1
2144,1
4639,1
788,1
766,1
1078,1
1496,1
1610,1
1043,1
5387,1
5021,1
2366,1
4677,1
1432,1
1967,1
5279,1
5392,1
1999,1
3486,1
4522,1
533,1
5082,1
3612,1
3016,1
4452,1
501,1
3930,1
2494,1
5257,1
3124,1
867,1
4477,1
5483,1
5137,1
889,1
3022,1
646,1
912,1
4161,1
679,1
3328,1
71,1
850,1
5489,1
723,1
384,1
856,1
2666,1
4856,1
1812,1
1791,1
5553,1
1091,1
987,1
9,1
1653,1
5183,1
4901,1
3896,1
420,1
4465,1
1706,1
2694,1
2516,1
2079,1
2105,1
