,class
366,1
311,1
203,1
468,1
302,1
146,1
149,1
266,1
349,1
443,1
38,0
183,1
393,0
71,1
54,1
414,1
205,1
122,1
126,1
147,1
423,1
85,0
320,0
102,1
460,1
333,1
378,0
247,1
73,0
299,1
484,1
415,1
288,0
74,1
200,0
437,1
139,1
328,0
392,0
186,1
438,1
474,1
21,1
156,1
112,0
503,1
369,0
530,0
237,0
376,0
118,0
169,0
134,1
493,1
241,0
105,1
542,0
198,1
489,0
353,0
98,1
245,0
342,1
263,0
232,0
180,1
432,0
512,0
255,0
502,1
179,1
446,1
110,0
228,0
466,1
29,1
543,0
275,1
184,0
351,1
221,0
467,1
114,0
309,1
53,1
403,0
6,1
0,1
138,1
518,0
176,0
361,0
536,0
301,1
230,0
494,1
133,1
220,0
538,0
35,0
401,0
39,0
120,0
88,1
331,1
317,1
206,1
517,0
372,0
61,0
470,1
251,0
445,1
284,1
362,0
78,0
382,0
164,1
223,1
37,0
14,1
231,0
444,1
398,0
537,0
534,1
181,1
8,1
217,0
336,0
261,0
472,0
385,0
417,0
541,0
519,0
168,0
17,1
16,1
92,1
441,0
347,1
159,1
509,0
76,0
373,0
260,0
477,1
137,0
273,0
66,0
129,0
449,0
453,1
64,1
326,1
40,0
298,1
430,1
227,0
234,0
140,1
549,0
23,1
107,0
544,0
7,0
249,0
69,1
497,0
52,1
458,1
526,0
442,1
219,0
404,0
254,0
330,1
459,1
426,1
496,0
304,0
408,0
123,1
124,1
439,1
386,0
455,1
531,0
327,1
121,0
265,0
233,0
47,0
178,1
286,1
236,0
75,0
68,0
357,1
165,1
208,0
272,0
132,1
57,1
191,1
507,0
324,1
267,1
504,0
356,1
346,1
161,0
264,0
153,0
72,1
80,0
197,1
276,1
46,0
86,0
148,1
535,1
352,0
488,0
95,1
143,1
491,1
365,0
79,0
192,0
337,0
127,1
144,0
142,1
103,1
167,1
128,0
315,1
279,1
96,0
358,1
475,1
375,0
101,1
307,1
213,1
117,0
395,0
533,0
48,1
436,1
212,1
259,0
389,0
499,1
325,1
482,1
464,0
1,1
447,1
516,0
32,1
291,1
435,1
384,0
524,0
280,0
25,1
243,0
523,0
434,1
363,0
287,1
471,1
252,0
515,0
109,1
319,1
235,0
345,0
218,0
67,0
210,1
214,1
525,0
62,1
340,1
505,0
204,1
108,1
45,0
334,1
314,1
473,0
465,0
377,0
296,0
13,1
115,0
522,0
481,0
418,1
83,0
119,0
50,0
202,1
269,1
77,0
87,0
177,0
308,1
136,0
250,0
416,0
388,0
28,0
225,0
368,0
343,1
170,1
339,1
55,1
329,0
323,1
390,1
498,1
341,1
15,1
400,0
354,1
402,0
521,0
527,0
2,1
155,1
551,0
277,1
257,0
552,0
318,1
173,1
419,1
282,1
501,1
97,1
229,0
321,0
364,0
9,0
60,1
371,0
65,1
81,0
350,1
283,1
174,1
394,0
33,1
290,1
150,1
433,0
316,1
89,1
268,1
270,1
456,0
310,1
51,0
479,1
431,1
420,1
163,1
262,0
506,0
211,1
553,0
297,0
116,0
94,1
454,1
490,1
36,0
332,1
410,1
246,1
182,1
