,class
342,1
2549,0
209,1
808,1
2476,0
3443,0
242,1
1012,1
3983,0
2279,0
558,1
1565,1
4550,0
80,1
1743,1
429,1
2228,0
1543,1
1392,1
700,1
284,1
1722,1
1691,1
4509,0
1119,1
1945,0
2602,0
1384,1
3592,0
1767,1
1203,1
4412,0
2307,0
2324,0
1717,1
938,1
2023,0
4218,0
3110,0
2643,0
3305,0
2067,0
3827,0
1921,0
3414,0
2637,0
741,1
1588,1
4589,0
3182,0
2449,0
2969,0
1640,1
2221,0
3940,0
4445,0
4325,0
3493,0
1706,1
481,1
1760,1
3729,0
1344,1
2203,0
348,1
453,1
3457,0
681,1
1140,1
4236,0
1404,1
2317,0
2166,0
1015,1
3445,0
2458,0
3643,0
1147,1
2304,0
4171,0
4588,0
2497,0
44,1
4506,0
2182,0
3041,0
4413,0
434,1
2871,0
2097,0
2631,0
3730,0
2928,0
834,1
1292,1
1136,1
627,1
1635,1
2049,0
1613,1
1888,0
3258,0
873,1
4001,0
3923,0
2599,0
1630,1
2947,0
4524,0
4205,0
3930,0
1739,1
383,1
3747,0
4053,0
2672,0
1269,1
1881,0
3106,0
3430,0
254,1
2961,0
1408,1
2122,0
2707,0
2526,0
3999,0
2938,0
2939,0
1930,0
757,1
1053,1
2350,0
433,1
2870,0
2586,0
3276,0
2105,0
800,1
311,1
867,1
2180,0
68,1
4439,0
3523,0
1759,1
2919,0
503,1
3749,0
1990,0
802,1
3350,0
2646,0
583,1
4273,0
4145,0
2384,0
3380,0
3395,0
1509,1
136,1
1705,1
2115,0
1620,1
2731,0
2214,0
3071,0
192,1
1048,1
2092,0
3279,0
4306,0
1726,1
1946,0
2748,0
2464,0
997,1
4062,0
4399,0
1862,0
3221,0
1582,1
4360,0
2258,0
4391,0
2488,0
3214,0
1492,1
1182,1
4470,0
3554,0
479,1
4198,0
2954,0
1326,1
2359,0
472,1
2651,0
3844,0
3207,0
360,1
2852,0
2287,0
2838,0
4394,0
2796,0
3976,0
3920,0
1106,1
1210,1
346,1
4387,0
3451,0
435,1
2777,0
4233,0
1109,1
1131,1
2541,0
2570,0
2830,0
3949,0
4049,0
1549,1
1306,1
2943,0
280,1
3758,0
2490,0
283,1
2673,0
231,1
2078,0
4521,0
324,1
3533,0
389,1
3594,0
1213,1
2844,0
1716,1
914,1
2031,0
3441,0
4578,0
1153,1
3150,0
3127,0
4165,0
2086,0
1401,1
1790,1
2699,0
108,1
3806,0
671,1
3570,0
4489,0
1003,1
2991,0
2187,0
1045,1
2820,0
3775,0
714,1
2095,0
3769,0
3568,0
2486,0
3015,0
1567,1
266,1
489,1
971,1
760,1
555,1
4505,0
1320,1
2130,0
3761,0
2630,0
4353,0
448,1
3139,0
1294,1
2524,0
3537,0
4194,0
1563,1
1975,0
4542,0
500,1
2535,0
3998,0
4021,0
1648,1
2163,0
1302,1
3955,0
3659,0
3467,0
1017,1
2771,0
771,1
1019,1
3811,0
2109,0
674,1
983,1
2197,0
2955,0
1683,1
2975,0
451,1
3331,0
2697,0
4359,0
2730,0
1928,0
2245,0
3789,0
2864,0
814,1
768,1
1251,1
1665,1
3732,0
1712,1
260,1
1802,1
436,1
686,1
3987,0
233,1
2623,0
612,1
3863,0
4249,0
3130,0
2188,0
2045,0
3378,0
1938,0
4425,0
2957,0
3052,0
70,1
139,1
2267,0
3602,0
4191,0
328,1
3974,0
3087,0
4289,0
2752,0
115,1
459,1
3714,0
3589,0
2566,0
1548,1
1907,0
592,1
3179,0
94,1
1084,1
3481,0
3882,0
