,Class
197,0
120,0
126,0
74,1
88,1
41,1
106,0
122,0
107,0
85,1
73,1
20,1
170,0
51,1
117,0
55,1
128,0
81,1
24,1
79,1
131,0
23,1
34,1
52,1
138,0
154,0
70,1
113,0
103,0
183,0
93,1
189,0
163,0
174,0
21,1
178,0
156,0
31,1
130,0
30,1
91,1
164,0
33,1
50,1
157,0
15,1
3,1
36,1
112,0
114,0
61,1
109,0
104,0
160,0
184,0
46,1
206,0
45,1
201,0
191,0
82,1
141,0
196,0
53,1
125,0
86,1
10,1
29,1
175,0
137,0
105,0
179,0
27,1
121,0
22,1
173,0
145,0
150,0
9,1
166,0
6,1
169,0
199,0
132,0
99,0
1,1
187,0
94,1
63,1
115,0
124,0
38,1
84,1
83,1
58,1
56,1
119,0
59,1
193,0
101,0
19,1
37,1
62,1
139,0
100,0
47,1
158,0
171,0
57,1
185,0
133,0
60,1
108,0
32,1
7,1
44,1
142,0
68,1
77,1
111,0
134,0
116,0
0,1
159,0
43,1
198,0
89,1
110,0
40,1
65,1
172,0
207,0
72,1
98,0
205,0
155,0
92,1
35,1
136,0
200,0
182,0
54,1
25,1
90,1
180,0
