,Class
456,1
121,1
738,0
407,1
183,1
873,0
865,0
284,1
630,0
522,1
337,1
339,1
158,1
901,0
834,0
286,1
774,0
84,1
950,0
95,1
928,0
478,1
125,1
315,1
688,0
728,0
519,1
157,1
191,1
488,1
160,1
403,1
444,1
306,1
72,1
164,1
359,1
501,1
765,0
549,1
119,1
536,1
369,1
214,1
891,0
66,1
319,1
533,1
779,0
923,0
408,1
880,0
573,1
757,0
16,1
371,1
5,1
430,1
564,1
719,0
174,1
135,1
391,1
73,1
356,1
327,1
105,1
899,0
545,1
80,1
28,1
60,1
608,1
24,1
94,1
402,1
375,1
760,0
507,1
552,1
56,1
312,1
184,1
325,1
615,1
30,1
925,0
201,1
267,1
35,1
189,1
859,0
582,1
381,1
357,1
197,1
163,1
368,1
814,0
239,1
428,1
869,0
360,1
736,0
281,1
604,1
144,1
424,1
475,1
629,0
737,0
425,1
840,0
535,1
109,1
821,0
279,1
815,0
52,1
346,1
186,1
364,1
483,1
32,1
858,0
824,0
955,0
870,0
345,1
278,1
825,0
936,0
567,1
173,1
49,1
771,0
51,1
547,1
543,1
208,1
53,1
335,1
414,1
791,0
155,1
59,1
472,1
266,1
704,0
628,0
832,0
759,0
140,1
150,1
609,1
657,0
726,0
740,0
723,0
750,0
257,1
114,1
751,0
948,0
828,0
251,1
433,1
417,1
393,1
909,0
323,1
613,1
118,1
347,1
277,1
927,0
529,1
802,0
153,1
495,1
484,1
784,0
390,1
658,0
540,1
583,1
513,1
22,1
212,1
681,0
809,0
265,1
6,1
293,1
893,0
436,1
396,1
866,0
878,0
789,0
338,1
254,1
732,0
308,1
752,0
687,0
572,1
98,1
636,0
112,1
332,1
413,1
351,1
165,1
65,1
937,0
508,1
661,0
443,1
857,0
593,1
877,0
29,1
261,1
77,1
711,0
363,1
855,0
576,1
665,0
15,1
673,0
674,0
544,1
256,1
797,0
19,1
514,1
718,0
580,1
156,1
333,1
89,1
908,0
754,0
599,1
504,1
755,0
463,1
367,1
358,1
274,1
932,0
640,0
454,1
352,1
846,0
177,1
672,0
349,1
394,1
336,1
503,1
196,1
420,1
895,0
790,0
379,1
400,1
305,1
445,1
104,1
395,1
678,0
919,0
397,1
27,1
126,1
830,0
563,1
185,1
193,1
876,0
134,1
836,0
906,0
103,1
37,1
133,1
743,0
465,1
313,1
143,1
0,1
574,1
917,0
924,0
894,0
770,0
783,0
844,0
706,0
223,1
594,1
69,1
837,0
739,0
255,1
861,0
8,1
11,1
618,1
734,0
712,0
111,1
268,1
41,1
715,0
684,0
679,0
506,1
350,1
693,0
115,1
205,1
864,0
461,1
775,0
141,1
900,0
762,0
419,1
4,1
787,0
455,1
324,1
245,1
716,0
639,0
20,1
850,0
863,0
835,0
620,1
241,1
142,1
311,1
70,1
42,1
146,1
677,0
229,1
709,0
898,0
282,1
137,1
729,0
46,1
862,0
733,0
250,1
289,1
772,0
405,1
199,1
301,1
326,1
717,0
812,0
669,0
477,1
432,1
616,1
190,1
798,0
450,1
612,1
852,0
264,1
448,1
780,0
482,1
829,0
515,1
521,1
682,0
868,0
122,1
247,1
505,1
21,1
373,1
664,0
489,1
568,1
916,0
957,0
632,0
659,0
701,0
227,1
930,0
355,1
675,0
841,0
86,1
344,1
849,0
785,0
457,1
387,1
470,1
749,0
644,0
34,1
607,1
67,1
668,0
340,1
294,1
322,1
745,0
769,0
75,1
136,1
181,1
692,0
915,0
818,0
819,0
225,1
464,1
309,1
378,1
499,1
330,1
3,1
100,1
584,1
654,0
897,0
63,1
152,1
474,1
329,1
708,0
283,1
230,1
648,0
399,1
127,1
206,1
831,0
12,1
316,1
78,1
93,1
713,0
50,1
907,0
99,1
404,1
793,0
218,1
768,0
650,0
756,0
58,1
269,1
918,0
805,0
516,1
431,1
562,1
458,1
418,1
18,1
686,0
236,1
843,0
753,0
14,1
452,1
820,0
796,0
510,1
565,1
579,1
473,1
423,1
476,1
725,0
492,1
566,1
592,1
401,1
807,0
38,1
886,0
437,1
307,1
655,0
168,1
116,1
890,0
578,1
623,1
823,0
921,0
764,0
219,1
946,0
207,1
260,1
622,1
646,0
85,1
833,0
854,0
460,1
328,1
727,0
502,1
912,0
524,1
175,1
273,1
642,0
786,0
491,1
486,1
637,0
295,1
139,1
96,1
741,0
811,0
509,1
213,1
518,1
386,1
889,0
233,1
440,1
79,1
938,0
469,1
26,1
1,1
187,1
530,1
271,1
434,1
633,0
696,0
270,1
453,1
310,1
366,1
145,1
412,1
641,0
707,0
87,1
794,0
220,1
801,0
466,1
410,1
697,0
944,0
542,1
940,0
806,0
481,1
88,1
252,1
587,1
331,1
449,1
541,1
485,1
83,1
71,1
645,0
57,1
429,1
663,0
822,0
479,1
720,0
110,1
943,0
162,1
875,0
132,1
237,1
808,0
496,1
248,1
48,1
871,0
2,1
314,1
586,1
539,1
446,1
624,1
602,1
538,1
297,1
81,1
231,1
860,0
90,1
161,1
102,1
303,1
949,0
856,0
653,0
318,1
113,1
884,0
532,1
462,1
209,1
468,1
910,0
847,0
660,0
389,1
561,1
585,1
232,1
459,1
705,0
288,1
182,1
23,1
788,0
47,1
735,0
62,1
842,0
210,1
362,1
947,0
560,1
746,0
945,0
342,1
848,0
411,1
238,1
528,1
287,1
881,0
204,1
638,0
942,0
731,0
320,1
43,1
147,1
621,1
953,0
263,1
120,1
188,1
