,class
2898,0
842,1
967,0
2644,0
3001,0
855,1
389,1
3059,0
3122,0
183,1
2186,1
2377,0
573,1
732,1
704,1
2326,1
1158,0
876,1
2721,0
544,1
2974,0
2689,0
1294,0
660,1
1829,1
1334,0
2916,0
2626,0
2813,0
1765,1
208,1
2903,0
12,1
64,1
278,1
2239,1
290,1
1405,0
705,1
2669,0
1439,0
2427,0
1136,0
2942,0
3131,0
3136,0
1832,1
1897,1
1820,1
331,1
1799,1
2741,0
1067,0
1398,0
1546,0
2424,0
1634,1
1615,1
445,1
850,1
46,1
1814,1
3121,0
2763,0
1246,0
1431,0
1146,0
657,1
741,1
893,1
2132,1
1584,0
2061,1
903,1
2184,1
830,1
285,1
2504,0
1721,1
1706,1
2307,1
253,1
792,1
2453,0
1837,1
214,1
2593,0
1277,0
420,1
1135,0
1177,0
136,1
2791,0
1782,1
2161,1
210,1
2551,0
2550,0
1021,0
1227,0
3063,0
585,1
2617,0
577,1
2330,1
2921,0
515,1
2107,1
1409,0
1951,1
1109,0
2415,0
2472,0
1077,0
2343,1
2428,0
463,1
1871,1
733,1
2407,0
675,1
621,1
1499,0
1441,0
263,1
2376,0
1038,0
2586,0
3107,0
1591,0
2200,1
3062,0
2121,1
1722,1
467,1
1595,0
1723,1
635,1
1099,0
2637,0
2658,0
2767,0
1603,1
798,1
3052,0
158,1
776,1
1078,0
2420,0
764,1
2727,0
1252,0
2943,0
2221,1
2810,0
1541,0
3172,0
3007,0
562,1
274,1
1748,1
2145,1
2464,0
680,1
2018,1
1955,1
425,1
1055,0
3149,0
2111,1
3004,0
1834,1
1785,1
2631,0
2748,0
2635,0
1265,0
501,1
765,1
1726,1
8,1
589,1
898,1
687,1
458,1
3046,0
2243,1
2961,0
2265,1
495,1
284,1
668,1
1666,1
409,1
2963,0
1992,1
1481,0
2559,0
3137,0
1657,1
252,1
2955,0
2960,0
1993,1
2437,0
1065,0
2575,0
3193,0
2935,0
1263,0
2973,0
2329,1
1469,0
2804,0
1258,0
204,1
232,1
329,1
569,1
2141,1
71,1
2404,0
1281,0
2306,1
2331,1
962,0
2159,1
1872,1
1935,1
3031,0
2236,1
2019,1
2035,1
24,1
1300,0
2793,0
2208,1
2227,1
2459,0
993,0
1492,0
1961,1
2140,1
1867,1
1918,1
1053,0
203,1
2394,0
975,0
3089,0
3073,0
2503,0
2634,0
3115,0
1707,1
2991,0
928,0
996,0
658,1
439,1
1687,1
2608,0
3023,0
771,1
2618,0
159,1
2172,1
2346,1
636,1
987,0
1075,0
2659,0
1507,0
1402,0
524,1
3167,0
3176,0
833,1
1051,0
86,1
140,1
1453,0
640,1
1480,0
1138,0
1452,0
1193,0
505,1
1669,1
1287,0
2327,1
354,1
2515,0
1883,1
2643,0
146,1
2709,0
1977,1
436,1
1079,0
795,1
625,1
2458,0
2599,0
1704,1
1769,1
1348,0
1516,0
2985,0
1886,1
2480,0
2451,0
1766,1
1260,0
406,1
452,1
1002,0
1031,0
7,1
936,0
2411,0
1753,1
1084,0
2431,0
126,1
2029,1
82,1
2333,1
75,1
2785,0
2640,0
1518,0
2868,0
301,1
819,1
427,1
1208,0
1699,1
1016,0
41,1
554,1
377,1
715,1
2087,1
2454,0
2143,1
293,1
947,0
1830,1
1207,0
1377,0
3194,0
637,1
1621,1
2755,0
1650,1
1547,0
220,1
2561,0
1833,1
2872,0
586,1
2137,1
474,1
1022,0
840,1
654,1
1505,0
889,1
1539,0
663,1
405,1
2607,0
2287,1
394,1
2412,0
769,1
1733,1
2115,1
1230,0
1856,1
2953,0
2655,0
1616,1
1566,0
2166,1
2189,1
690,1
1061,0
2491,0
2683,0
949,0
2923,0
1366,0
1701,1
2526,0
1333,0
2522,0
1848,1
683,1
1605,1
1026,0
2217,1
1325,0
1526,0
162,1
1774,1
130,1
2351,1
835,1
2005,1
2017,1
724,1
2699,0
2733,0
2258,1
659,1
328,1
994,0
2136,1
2509,0
1063,0
3003,0
454,1
410,1
945,0
570,1
2835,0
219,1
2656,0
1921,1
646,1
2534,0
1139,0
2023,1
1231,0
1751,1
1197,0
728,1
3041,0
229,1
1491,0
933,0
247,1
2930,0
392,1
1937,1
2562,0
2378,0
750,1
3025,0
2580,0
767,1
513,1
1292,0
1422,0
2572,0
3191,0
943,0
2088,1
1243,0
1577,0
2448,0
2214,1
1164,0
1478,0
3127,0
829,1
2338,1
881,1
2382,0
1926,1
784,1
1307,0
2866,0
2713,0
32,1
2675,0
286,1
2680,0
207,1
3133,0
2899,0
1607,1
2310,1
97,1
749,1
2492,0
1006,0
2050,1
1066,0
2766,0
96,1
2711,0
748,1
432,1
31,1
2399,0
1789,1
2779,0
1813,1
2775,0
1295,0
1787,1
1229,0
256,1
1648,1
23,1
2594,0
1059,0
3014,0
362,1
225,1
1001,0
2263,1
641,1
1967,1
1421,0
510,1
1473,0
3132,0
198,1
594,1
341,1
2995,0
2051,1
2013,1
759,1
67,1
2924,0
1062,0
1795,1
1892,1
2771,0
2846,0
2800,0
1864,1
298,1
1490,0
1363,0
2283,1
2443,0
1344,0
1378,0
948,0
2857,0
486,1
1945,1
1008,0
2165,1
2246,1
2765,0
2822,0
2003,1
884,1
2874,0
1737,1
1037,0
1554,0
444,1
1471,0
2630,0
1878,1
951,0
178,1
2805,0
3195,0
526,1
366,1
559,1
941,0
326,1
319,1
2040,1
1572,0
1209,0
2597,0
998,0
1178,0
127,1
1598,0
841,1
2235,1
107,1
803,1
1811,1
1445,0
2697,0
2289,1
1631,1
770,1
139,1
858,1
2296,1
2908,0
504,1
1360,0
2393,0
2364,1
496,1
1684,1
672,1
1302,0
3069,0
782,1
2130,1
518,1
2945,0
417,1
2248,1
147,1
4,1
1509,0
258,1
2571,0
1329,0
3154,0
1542,0
1618,1
1081,0
333,1
1130,0
2809,0
2972,0
2998,0
403,1
1528,0
2627,0
408,1
1840,1
1060,0
2894,0
1543,0
2229,1
2102,1
1617,1
960,0
2403,0
2856,0
2230,1
971,0
1364,0
870,1
3050,0
1395,0
3150,0
1975,1
1923,1
1261,0
2365,0
3100,0
3044,0
363,1
2027,1
2591,0
1086,0
2194,1
2002,1
2362,1
1697,1
2190,1
772,1
2192,1
2174,1
2584,0
1094,0
2560,0
161,1
1444,0
2851,0
3079,0
1877,1
211,1
3139,0
453,1
1663,1
2383,0
1082,0
497,1
1151,0
1221,0
1202,0
1561,0
1559,0
2944,0
1413,0
3157,0
2784,0
1556,0
2717,0
2372,0
1801,1
262,1
194,1
337,1
154,1
385,1
2977,0
381,1
2862,0
1503,0
979,0
2416,0
302,1
684,1
1869,1
997,0
248,1
250,1
2906,0
490,1
112,1
565,1
2004,1
2032,1
265,1
1662,1
2125,1
438,1
1932,1
2931,0
2624,0
1217,0
1841,1
383,1
1890,1
2016,1
2262,1
1741,1
3109,0
1760,1
2696,0
1893,1
1875,1
2030,1
3134,0
1012,0
812,1
849,1
995,0
746,1
1798,1
871,1
1461,0
1126,0
590,1
938,0
1656,1
2350,1
1691,1
2370,0
1384,0
397,1
892,1
1773,1
927,0
2850,0
1739,1
1317,0
538,1
605,1
310,1
932,0
1213,0
1494,0
281,1
2500,0
39,1
1367,0
2808,0
2059,1
3130,0
1353,0
1746,1
1557,0
2066,1
2223,1
1772,1
357,1
2684,0
1980,1
2285,1
990,0
3065,0
929,0
2806,0
2544,0
2939,0
300,1
1950,1
2632,0
3094,0
1120,0
1465,0
2768,0
2213,1
277,1
3085,0
2910,0
2666,0
604,1
1191,0
1100,0
1725,1
2573,0
3055,0
76,1
736,1
571,1
1034,0
19,1
95,1
734,1
226,1
2278,1
2168,1
854,1
1664,1
980,0
1512,0
1011,0
3045,0
1643,1
2734,0
1553,0
2093,1
2267,1
662,1
234,1
2912,0
236,1
1466,0
2694,0
2621,0
1947,1
2555,0
2274,1
1486,0
2815,0
707,1
2038,1
1389,0
470,1
58,1
1098,0
3117,0
2409,0
506,1
343,1
177,1
1538,0
671,1
2514,0
306,1
2042,1
2379,0
731,1
419,1
1908,1
2878,0
2917,0
2615,0
2498,0
553,1
164,1
1604,1
1245,0
124,1
192,1
1165,0
503,1
2222,1
1680,1
330,1
2171,1
1972,1
583,1
656,1
2845,0
106,1
1152,0
2247,1
240,1
2103,1
1508,0
1742,1
897,1
57,1
778,1
783,1
1901,1
451,1
2606,0
1636,1
2033,1
1714,1
1576,0
1521,0
494,1
697,1
1310,0
2339,1
2674,0
587,1
1555,0
517,1
2867,0
2273,1
1324,0
1983,1
2905,0
1194,0
1919,1
1985,1
355,1
2270,1
2665,0
91,1
3088,0
606,1
242,1
1885,1
757,1
2388,0
1003,0
969,0
709,1
879,1
2281,1
1895,1
413,1
1776,1
912,0
1104,0
401,1
1645,1
1495,0
1142,0
868,1
1030,0
509,1
747,1
2220,1
2361,1
2986,0
1358,0
618,1
13,1
578,1
954,0
2477,0
1296,0
344,1
6,1
1149,0
1357,0
1957,1
3187,0
1206,0
2853,0
271,1
2482,0
1914,1
793,1
596,1
2653,0
631,1
1930,1
1623,1
2966,0
2435,0
991,0
1000,0
2201,1
1427,0
370,1
1259,0
2353,1
2987,0
988,0
2828,0
2008,1
2196,1
218,1
481,1
3151,0
2025,1
686,1
1184,0
1175,0
289,1
1767,1
3184,0
678,1
2408,0
1686,1
2792,0
424,1
1018,0
1103,0
1523,0
907,0
288,1
2433,0
804,1
2371,0
2313,1
3164,0
2325,1
2757,0
2466,0
3027,0
603,1
186,1
1866,1
2,1
1180,0
2517,0
3070,0
1454,0
666,1
2825,0
176,1
2990,0
1019,0
1990,1
755,1
3153,0
2881,0
1285,0
753,1
3074,0
512,1
2082,1
3146,0
3038,0
2941,0
2794,0
2401,0
269,1
1195,0
325,1
2057,1
2144,1
1863,1
3047,0
1297,0
2776,0
3021,0
78,1
1462,0
2231,1
2819,0
1963,1
2707,0
2879,0
2271,1
1792,1
3087,0
3010,0
1998,1
180,1
2010,1
3022,0
464,1
2068,1
2089,1
2160,1
2519,0
609,1
2268,1
2207,1
2922,0
493,1
2520,0
478,1
2387,0
3015,0
547,1
2858,0
1582,0
1448,0
2288,1
2732,0
883,1
3111,0
1354,0
2663,0
2060,1
2001,1
3185,0
1783,1
2311,1
1800,1
2179,1
1651,1
894,1
72,1
2654,0
901,1
1920,1
1451,0
2181,1
2078,1
2956,0
915,0
2786,0
1580,0
2838,0
30,1
1335,0
2067,1
3026,0
911,0
982,0
805,1
1438,0
667,1
882,1
2611,0
790,1
2557,0
142,1
712,1
1274,0
535,1
1023,0
