,Class
1022,2
1168,2
1214,2
665,1
106,1
874,2
921,2
568,1
358,1
1119,2
1287,2
584,1
1058,2
11,1
987,2
695,1
317,1
1026,2
1350,2
914,2
392,1
1197,2
241,1
14,1
36,1
493,1
803,2
368,1
427,1
145,1
351,1
1219,2
33,1
1251,2
569,1
893,2
1162,2
158,1
679,1
875,2
1305,2
430,1
1188,2
1094,2
1273,2
1131,2
1175,2
942,2
515,1
136,1
805,2
268,1
434,1
193,1
504,1
471,1
952,2
989,2
1235,2
553,1
480,1
342,1
560,1
817,2
615,1
80,1
1181,2
503,1
990,2
48,1
514,1
388,1
1092,2
1170,2
672,1
435,1
270,1
187,1
782,2
1003,2
1371,2
1121,2
681,1
46,1
691,1
1258,2
424,1
71,1
561,1
1324,2
155,1
410,1
960,2
1059,2
747,1
928,2
425,1
897,2
1295,2
640,1
135,1
1061,2
451,1
429,1
350,1
731,1
1134,2
81,1
257,1
741,1
1354,2
1046,2
433,1
333,1
819,2
438,1
297,1
371,1
576,1
975,2
320,1
1213,2
714,1
677,1
473,1
318,1
1025,2
9,1
381,1
275,1
170,1
62,1
577,1
895,2
1262,2
422,1
944,2
1148,2
866,2
664,1
513,1
873,2
1049,2
70,1
729,1
131,1
1116,2
797,2
31,1
1226,2
1357,2
1051,2
406,1
1130,2
940,2
256,1
1050,2
279,1
108,1
1352,2
298,1
772,2
60,1
713,1
82,1
1355,2
1155,2
308,1
374,1
715,1
501,1
1147,2
69,1
959,2
1296,2
623,1
759,1
229,1
1228,2
1211,2
163,1
774,2
1140,2
456,1
697,1
169,1
536,1
1171,2
824,2
1256,2
98,1
882,2
551,1
658,1
1012,2
355,1
864,2
1315,2
1263,2
1103,2
366,1
94,1
795,2
61,1
1010,2
1141,2
812,2
428,1
630,1
1194,2
373,1
416,1
250,1
237,1
678,1
409,1
1165,2
1246,2
1329,2
450,1
1257,2
143,1
951,2
629,1
372,1
165,1
1027,2
1186,2
542,1
356,1
972,2
105,1
1283,2
1040,2
793,2
670,1
834,2
18,1
217,1
962,2
634,1
800,2
1250,2
927,2
302,1
431,1
284,1
539,1
1210,2
498,1
55,1
365,1
263,1
1054,2
675,1
841,2
592,1
986,2
1362,2
1075,2
1104,2
1084,2
693,1
663,1
851,2
1208,2
228,1
307,1
259,1
90,1
581,1
637,1
1349,2
642,1
739,1
591,1
357,1
242,1
696,1
1117,2
716,1
49,1
578,1
1331,2
1158,2
420,1
1169,2
920,2
871,2
389,1
156,1
761,1
1153,2
1220,2
146,1
1023,2
1269,2
336,1
1105,2
1057,2
464,1
1113,2
1184,2
999,2
1204,2
511,1
706,1
1136,2
411,1
141,1
20,1
1303,2
102,1
10,1
276,1
1339,2
1139,2
37,1
88,1
1193,2
292,1
963,2
1074,2
647,1
674,1
565,1
167,1
554,1
655,1
737,1
58,1
1045,2
867,2
419,1
1203,2
736,1
775,2
919,2
306,1
200,1
1272,2
1179,2
314,1
589,1
177,1
639,1
582,1
908,2
25,1
205,1
1033,2
777,2
1243,2
345,1
178,1
1346,2
449,1
773,2
1019,2
470,1
563,1
727,1
201,1
612,1
330,1
585,1
913,2
51,1
557,1
63,1
687,1
487,1
1063,2
1241,2
322,1
593,1
1323,2
1335,2
628,1
915,2
376,1
865,2
230,1
272,1
910,2
235,1
1245,2
840,2
1081,2
859,2
939,2
262,1
931,2
1047,2
964,2
204,1
831,2
115,1
192,1
57,1
252,1
826,2
45,1
909,2
708,1
166,1
505,1
730,1
457,1
1285,2
490,1
916,2
849,2
1260,2
224,1
273,1
432,1
56,1
1112,2
327,1
369,1
1072,2
13,1
260,1
171,1
1161,2
510,1
407,1
482,1
492,1
1041,2
1360,2
769,2
142,1
855,2
869,2
947,2
547,1
580,1
541,1
822,2
941,2
1326,2
1089,2
654,1
633,1
1189,2
1218,2
1336,2
1032,2
1259,2
789,2
1328,2
1268,2
707,1
854,2
868,2
1198,2
879,2
223,1
728,1
1202,2
979,2
236,1
1279,2
404,1
281,1
886,2
688,1
559,1
543,1
555,1
516,1
643,1
1102,2
1173,2
994,2
950,2
943,2
1311,2
700,1
225,1
718,1
1301,2
604,1
113,1
1015,2
186,1
970,2
724,1
704,1
1037,2
524,1
924,2
507,1
1342,2
861,2
1087,2
1,1
1351,2
41,1
587,1
872,2
922,2
17,1
1016,2
1240,2
757,1
806,2
794,2
353,1
1291,2
265,1
760,1
466,1
359,1
1284,2
599,1
391,1
613,1
548,1
343,1
635,1
468,1
436,1
370,1
1129,2
1270,2
1288,2
751,1
484,1
815,2
796,2
1085,2
319,1
114,1
1254,2
1212,2
1095,2
93,1
1011,2
354,1
300,1
150,1
1038,2
607,1
68,1
564,1
619,1
648,1
683,1
44,1
35,1
122,1
1156,2
904,2
39,1
1244,2
752,1
1345,2
1014,2
1182,2
974,2
825,2
1132,2
705,1
445,1
528,1
814,2
375,1
626,1
1209,2
323,1
53,1
682,1
421,1
1313,2
838,2
362,1
303,1
347,1
1340,2
148,1
529,1
454,1
1294,2
160,1
719,1
1325,2
282,1
444,1
295,1
954,2
400,1
1024,2
1065,2
215,1
701,1
853,2
75,1
955,2
1365,2
1281,2
532,1
527,1
1135,2
222,1
1056,2
338,1
21,1
144,1
1333,2
6,1
860,2
608,1
929,2
152,1
570,1
481,1
1280,2
325,1
206,1
1109,2
721,1
973,2
556,1
293,1
245,1
758,1
291,1
660,1
595,1
339,1
1205,2
1078,2
1271,2
335,1
1282,2
762,2
1332,2
594,1
73,1
520,1
756,1
703,1
1111,2
694,1
766,2
977,2
1221,2
1149,2
1036,2
1207,2
1180,2
1167,2
784,2
763,2
980,2
91,1
523,1
786,2
983,2
1090,2
447,1
179,1
905,2
1093,2
624,1
606,1
1115,2
474,1
583,1
247,1
97,1
67,1
65,1
755,1
1172,2
638,1
586,1
234,1
341,1
533,1
938,2
1091,2
386,1
304,1
732,1
902,2
1337,2
1097,2
750,1
1358,2
479,1
384,1
289,1
364,1
785,2
127,1
437,1
261,1
363,1
506,1
1178,2
574,1
1071,2
734,1
925,2
287,1
545,1
394,1
522,1
138,1
161,1
837,2
1292,2
1232,2
197,1
352,1
1001,2
702,1
1100,2
174,1
188,1
930,2
1096,2
631,1
617,1
896,2
1266,2
1314,2
455,1
597,1
807,2
710,1
332,1
1031,2
182,1
86,1
1166,2
844,2
912,2
185,1
997,2
566,1
348,1
1191,2
1088,2
749,1
379,1
735,1
175,1
312,1
84,1
725,1
1308,2
1107,2
1253,2
59,1
475,1
839,2
1343,2
274,1
1248,2
426,1
1008,2
258,1
1276,2
676,1
968,2
937,2
316,1
210,1
711,1
1077,2
572,1
1004,2
765,2
132,1
1101,2
1344,2
137,1
596,1
334,1
981,2
1278,2
1319,2
414,1
153,1
396,1
835,2
1163,2
692,1
754,1
486,1
393,1
38,1
461,1
248,1
494,1
880,2
1028,2
1302,2
1231,2
534,1
722,1
402,1
50,1
233,1
117,1
883,2
1370,2
1255,2
1341,2
813,2
948,2
440,1
159,1
901,2
3,1
783,2
151,1
1052,2
821,2
448,1
1073,2
1317,2
1018,2
509,1
733,1
266,1
1110,2
1128,2
489,1
519,1
767,2
1177,2
684,1
1222,2
1356,2
779,2
1320,2
956,2
118,1
190,1
227,1
1120,2
1309,2
83,1
804,2
966,2
1108,2
985,2
254,1
216,1
130,1
1159,2
101,1
24,1
1042,2
27,1
74,1
324,1
264,1
1126,2
1185,2
776,2
47,1
403,1
221,1
1247,2
723,1
636,1
1233,2
1369,2
790,2
900,2
16,1
382,1
385,1
1127,2
1157,2
52,1
651,1
1118,2
100,1
1017,2
7,1
1275,2
1200,2
1237,2
1234,2
76,1
243,1
299,1
768,2
1174,2
89,1
26,1
417,1
993,2
134,1
969,2
288,1
502,1
485,1
746,1
1206,2
743,1
8,1
124,1
87,1
720,1
173,1
191,1
933,2
496,1
906,2
43,1
1122,2
1187,2
605,1
139,1
1114,2
453,1
196,1
579,1
891,2
689,1
780,2
1055,2
1006,2
255,1
387,1
717,1
1079,2
616,1
552,1
799,2
278,1
781,2
121,1
764,2
611,1
439,1
571,1
1039,2
1199,2
934,2
251,1
877,2
833,2
602,1
1230,2
740,1
1034,2
996,2
1274,2
1361,2
1013,2
