,Class
376,1
45,2
158,2
71,2
29,2
773,1
124,2
1029,1
705,1
858,2
1003,1
770,1
685,1
937,1
193,2
74,2
756,1
369,1
79,2
875,2
972,1
1020,1
1009,1
97,2
284,1
254,2
923,1
218,2
661,1
904,2
299,1
646,1
737,1
639,1
988,1
267,2
67,2
502,1
1031,1
186,2
40,2
999,1
962,1
439,1
980,1
368,1
84,2
109,2
324,1
815,1
275,2
671,1
445,1
0,2
384,1
983,1
820,1
739,1
248,2
516,1
303,1
19,2
803,1
2,2
872,2
706,1
215,2
776,1
318,1
946,1
613,1
337,1
642,1
630,1
500,1
257,2
136,2
849,2
282,2
108,2
549,1
626,1
614,1
750,1
627,1
769,1
400,1
308,1
399,1
1025,1
247,2
779,1
889,2
43,2
547,1
498,1
839,2
440,1
1050,1
185,2
260,2
255,2
1004,1
348,1
441,1
841,2
862,2
47,2
538,1
956,1
226,2
143,2
916,1
105,2
401,1
1041,1
775,1
316,1
51,2
887,2
932,1
476,1
1000,1
154,2
517,1
676,1
814,1
892,2
9,2
528,1
526,1
752,1
135,2
829,1
589,1
1035,1
1032,1
832,1
427,1
21,2
450,1
532,1
170,2
219,2
235,2
936,1
430,1
677,1
883,2
18,2
461,1
415,1
378,1
686,1
594,1
508,1
800,1
975,1
959,1
359,1
27,2
917,1
451,1
643,1
989,1
478,1
250,2
134,2
694,1
375,1
66,2
976,1
609,1
731,1
813,1
902,2
1046,1
46,2
928,1
689,1
80,2
657,1
653,1
484,1
203,2
565,1
970,1
39,2
483,1
987,1
44,2
504,1
992,1
909,1
903,2
30,2
712,1
422,1
127,2
351,1
454,1
5,2
867,2
241,2
357,1
169,2
208,2
423,1
599,1
571,1
695,1
1027,1
763,1
429,1
744,1
103,2
524,1
509,1
138,2
114,2
220,2
410,1
592,1
237,2
467,1
734,1
212,2
727,1
447,1
32,2
950,1
42,2
593,1
320,1
506,1
954,1
326,1
569,1
442,1
392,1
780,1
180,2
266,2
240,2
332,1
682,1
101,2
479,1
897,2
960,1
28,2
452,1
311,1
968,1
11,2
747,1
418,1
302,1
224,2
183,2
301,1
586,1
529,1
480,1
631,1
807,1
111,2
458,1
381,1
396,1
913,1
145,2
655,1
786,1
810,1
416,1
199,2
707,1
61,2
477,1
15,2
122,2
221,2
201,2
860,2
236,2
906,2
363,1
942,1
1036,1
662,1
510,1
564,1
6,2
890,2
545,1
684,1
65,2
840,2
765,1
90,2
168,2
207,2
465,1
523,1
725,1
611,1
41,2
566,1
1053,1
341,1
149,2
525,1
636,1
920,1
405,1
290,1
717,1
981,1
958,1
159,2
690,1
667,1
10,2
781,1
818,1
827,1
597,1
1001,1
92,2
823,1
1026,1
196,2
1007,1
262,2
468,1
719,1
595,1
200,2
328,1
665,1
190,2
141,2
489,1
58,2
670,1
173,2
704,1
828,1
602,1
329,1
214,2
977,1
822,1
1042,1
922,1
751,1
1040,1
944,1
722,1
798,1
421,1
417,1
435,1
632,1
826,1
728,1
1054,1
333,1
700,1
87,2
313,1
556,1
914,1
978,1
674,1
651,1
680,1
638,1
527,1
249,2
434,1
412,1
990,1
1051,1
567,1
172,2
68,2
187,2
354,1
12,2
620,1
521,1
110,2
52,2
634,1
195,2
796,1
574,1
536,1
428,1
764,1
879,2
787,1
718,1
654,1
497,1
126,2
238,2
693,1
198,2
541,1
449,1
276,2
426,1
288,1
576,1
243,2
222,2
437,1
1030,1
652,1
637,1
850,2
843,2
117,2
761,1
557,1
265,2
622,1
939,1
588,1
343,1
225,2
107,2
601,1
808,1
398,1
1045,1
72,2
861,2
69,2
167,2
346,1
197,2
687,1
14,2
490,1
176,2
75,2
409,1
673,1
834,1
156,2
281,2
947,1
783,1
312,1
753,1
531,1
20,2
1006,1
244,2
33,2
322,1
252,2
891,2
809,1
811,1
859,2
55,2
817,1
438,1
799,1
711,1
144,2
115,2
570,1
675,1
132,2
233,2
846,2
137,2
151,2
205,2
153,2
112,2
991,1
762,1
933,1
580,1
446,1
582,1
165,2
505,1
1015,1
56,2
463,1
1018,1
548,1
778,1
424,1
573,1
716,1
455,1
1,2
160,2
367,1
162,2
411,1
522,1
590,1
755,1
157,2
953,1
91,2
493,1
513,1
192,2
608,1
512,1
640,1
540,1
1037,1
794,1
464,1
851,2
291,1
194,2
766,1
971,1
3,2
1008,1
606,1
688,1
730,1
164,2
152,2
298,1
853,2
789,1
542,1
742,1
735,1
1017,1
404,1
583,1
503,1
239,2
86,2
119,2
155,2
256,2
171,2
710,1
35,2
562,1
702,1
336,1
895,2
362,1
948,1
816,1
460,1
462,1
370,1
34,2
870,2
784,1
746,1
231,2
261,2
919,1
982,1
873,2
327,1
758,1
874,2
1044,1
242,2
331,1
131,2
581,1
894,2
