,Class
14755,1
7472,2
11040,1
9076,1
13074,1
1353,2
6383,1
12141,1
4261,2
8764,2
9579,1
11520,2
14049,1
6678,2
2470,2
9695,1
7423,2
1578,2
13624,1
4847,1
9839,1
9190,1
9148,1
5552,2
13065,1
11718,2
159,1
24,1
4878,1
5849,2
4340,2
236,2
1056,1
14703,1
8448,2
13536,1
12270,1
5614,2
9933,1
5087,1
12988,2
6225,1
10194,1
2040,1
6888,2
11289,2
3373,2
2684,1
6566,1
14096,1
13514,1
12731,2
12990,2
5439,2
12761,2
8393,2
11060,1
11917,2
14411,1
7827,2
13978,1
5800,2
5368,2
11861,2
12559,1
7847,2
4407,1
3825,2
14865,1
2636,1
12533,1
1494,2
10484,1
2818,1
13598,1
11752,2
7731,2
394,2
6479,1
14731,1
1019,1
1129,1
7292,2
5517,2
9573,1
9856,1
8365,2
4021,2
14050,1
14260,2
3180,1
11186,2
2735,1
14590,1
4767,1
4886,1
3276,1
1737,1
6691,2
11972,2
12722,1
8708,2
7366,2
11428,2
2257,2
3169,1
4312,2
3811,2
5638,2
5996,1
7099,2
9122,1
11331,2
11602,2
205,2
14163,1
11210,2
11693,2
13002,2
12882,1
10450,1
4258,2
11148,2
10084,1
3009,1
9074,1
7446,2
12166,1
14052,1
6427,1
10495,1
8304,2
2360,2
3694,2
11958,2
4637,1
304,2
5436,2
12117,1
2160,1
14499,1
12968,1
6304,1
9130,1
13911,1
2741,1
1800,1
7376,2
7162,2
6031,1
3458,2
13593,1
10641,1
12811,1
1680,1
6593,1
10943,1
3597,2
13938,1
3048,1
8369,2
14963,2
610,2
10213,1
8060,2
9420,1
618,2
12577,1
5402,2
192,2
11519,2
781,2
1099,1
7502,2
9626,1
7531,2
12907,1
5108,1
2540,2
13465,1
175,1
6352,1
3929,2
7508,2
7089,2
11566,2
14481,1
501,2
7616,2
9084,1
9211,1
11533,2
10163,1
9550,1
6703,2
7221,2
8834,2
13162,1
3669,2
11974,2
13229,1
14138,1
513,2
4849,1
14652,1
12405,1
3286,1
2603,2
13131,1
1734,1
1386,2
11291,2
7871,2
9902,1
981,1
13734,1
8545,2
9810,1
549,2
6563,1
11837,2
7944,2
13314,1
12732,2
14156,1
1539,2
13003,2
9678,1
995,1
7470,2
9840,1
4372,1
10584,1
12917,1
10876,1
14317,1
4182,2
307,2
2126,1
7806,2
8746,2
921,1
2559,2
11796,2
4212,2
5883,2
12109,1
495,2
14891,1
372,2
11564,2
6360,1
12695,1
3593,2
10292,1
4610,1
10010,1
4942,1
14299,1
13494,1
12113,1
3820,2
1558,2
12941,1
8786,2
3865,2
1303,1
6488,1
1864,1
7327,2
1116,1
14300,1
7043,2
6919,2
5193,1
13097,1
7613,2
7067,2
5546,2
11952,2
6227,1
13959,1
3231,1
2026,1
9013,2
6441,1
13247,1
413,2
2140,1
12385,1
978,1
5523,2
3381,2
14784,1
5696,2
1461,2
5290,2
11720,2
10135,1
10673,1
48,1
8813,2
10720,1
1944,1
6924,2
11899,2
8807,2
6640,1
4113,2
