,Class
86,2
304,1
110,2
487,2
510,2
156,2
508,2
55,2
524,2
522,2
205,1
440,2
520,2
453,2
101,2
49,2
414,2
52,2
290,2
327,2
496,2
273,2
6,2
397,2
264,2
193,2
145,2
174,2
467,2
13,2
484,2
479,1
349,2
482,2
277,1
89,2
201,2
472,2
377,2
262,2
93,2
371,2
62,1
109,2
263,2
255,2
88,2
170,2
131,2
407,2
16,2
320,2
401,2
169,2
50,2
247,2
278,2
139,2
191,2
536,1
314,2
466,2
412,2
292,2
76,2
345,2
515,2
259,2
270,2
534,2
428,2
242,2
442,2
14,2
244,2
94,1
160,2
296,2
351,2
533,2
468,2
132,2
434,2
68,2
488,2
470,2
302,2
204,2
346,2
209,2
422,2
330,2
415,2
221,2
84,1
503,2
48,1
183,1
225,2
455,2
105,2
403,1
81,2
340,2
252,2
441,2
511,2
384,2
430,2
95,2
390,2
181,2
117,2
368,2
64,2
300,2
356,2
417,2
429,2
361,2
122,2
67,2
289,2
218,2
298,2
246,2
149,2
332,2
208,2
245,2
381,2
82,2
217,2
250,2
45,2
254,2
321,2
266,2
490,2
500,2
163,1
355,2
19,2
499,2
469,2
274,2
329,2
357,2
419,1
448,2
311,2
339,1
103,2
60,2
190,2
125,2
171,2
26,2
506,2
391,2
447,1
352,2
119,2
231,2
333,2
0,1
399,2
8,2
418,2
501,2
491,2
127,2
168,1
452,2
219,1
248,2
15,2
239,2
539,2
464,2
451,2
34,2
258,2
369,2
202,2
463,2
143,2
324,2
477,2
223,2
243,2
341,2
286,2
97,2
112,2
504,2
413,2
265,2
96,2
238,2
432,1
36,2
461,2
267,2
287,2
35,2
251,2
449,2
164,2
317,2
359,2
281,2
481,2
10,2
373,2
31,2
140,2
178,2
288,2
471,2
157,2
386,1
212,2
51,2
354,2
106,2
271,1
518,2
216,1
63,2
370,2
43,1
438,2
152,2
473,2
275,2
257,2
517,2
465,2
366,2
319,2
61,2
188,2
398,2
39,2
220,2
232,2
58,2
224,2
519,2
336,2
21,2
215,2
162,2
303,2
392,2
395,2
347,2
194,2
249,2
111,2
342,2
124,2
118,2
478,2
24,2
233,2
22,2
73,2
474,2
87,2
416,2
436,2
2,2
137,2
299,2
234,2
374,2
138,2
433,2
358,2
393,2
92,1
146,2
509,2
353,2
192,2
237,2
159,2
83,2
379,2
523,2
331,2
7,2
427,2
108,1
495,2
301,2
80,2
71,2
99,2
47,2
32,2
526,2
507,1
291,1
431,2
315,1
79,2
176,1
497,2
483,2
408,2
423,2
335,2
182,2
100,2
27,2
535,2
512,2
402,2
185,2
443,2
521,2
165,2
276,2
350,2
136,2
38,2
69,2
498,2
293,2
538,2
426,2
310,2
150,2
494,2
334,2
312,2
425,2
284,2
200,2
525,1
527,2
203,2
57,1
161,2
120,2
404,2
133,1
72,2
147,2
480,2
394,2
309,2
25,2
210,2
476,2
129,2
375,2
325,2
348,2
387,2
141,2
462,2
235,2
107,2
1,2
28,2
294,2
229,2
54,2
424,2
380,2
435,2
505,2
316,2
173,2
