,Class
779,1
695,1
4084,1
264,1
3125,1
721,1
1527,2
3892,2
1819,1
4739,1
629,1
3302,1
4269,1
2374,1
2009,1
452,2
2531,1
2041,2
2326,2
634,2
1172,1
4574,2
4291,1
3940,1
3511,2
2705,1
2025,1
2497,1
4360,1
4217,2
2368,2
1474,1
3974,1
320,1
4592,1
5002,1
3526,2
1016,1
407,1
1068,1
5289,1
1191,1
3507,1
3607,1
2367,1
3369,1
4810,2
2985,1
1397,1
3236,1
1672,1
3080,1
3037,1
5098,2
1343,1
1748,1
4336,1
2491,2
999,1
4273,2
1807,1
2523,2
152,2
180,1
1813,1
974,2
4208,1
1761,2
5081,1
3778,1
4115,1
1923,1
93,2
4271,1
230,1
2803,1
2190,1
5324,1
997,1
1703,1
3583,2
5379,1
4257,1
4824,1
381,1
2394,2
836,2
4445,1
3663,2
1454,2
4715,1
3676,1
1333,2
4432,1
3631,2
2207,1
1945,1
4973,1
4370,1
1119,1
2285,2
3187,2
1435,1
5097,1
1984,1
2520,1
360,2
4544,1
2825,1
1108,1
1886,1
5133,1
1009,1
4100,1
3528,2
3385,2
4473,2
1105,1
2194,1
3183,1
4912,2
4963,1
4172,1
4066,2
5144,1
4365,2
1424,2
2305,1
1716,1
4982,2
2620,1
2347,2
1611,2
3360,2
4313,1
1814,1
850,2
3488,2
2174,1
5260,1
129,2
2711,1
5114,1
3295,1
1740,2
5385,1
167,1
1246,1
4867,2
4525,1
3725,2
2583,2
1155,2
4148,1
4165,1
3847,2
1497,2
1292,2
3525,1
3308,1
2894,2
1244,1
3065,1
1991,1
533,1
4287,1
2898,1
1679,2
4479,1
1798,1
2754,1
1714,1
4650,1
5265,2
1342,1
3665,2
4748,1
1123,1
4900,2
2526,2
2074,1
2155,2
4599,1
4889,1
468,1
4292,1
2510,1
3981,1
1513,1
4087,2
3470,1
3994,1
4522,1
1583,2
2920,1
4876,2
1078,1
3322,1
1336,1
4283,1
3459,1
1194,2
2766,1
4568,1
4446,1
4182,2
4584,1
1148,1
2802,2
1876,1
3030,2
2730,2
5079,1
1702,2
2341,2
4884,1
3518,1
2903,1
4127,2
2587,1
2337,2
2528,1
4412,1
3841,1
882,1
4668,1
1750,1
5345,2
2956,1
3590,1
977,1
1055,2
2594,2
677,1
3758,1
4874,2
2096,2
4486,1
2602,1
443,1
193,1
3192,1
2786,2
433,1
4293,2
2331,1
3333,2
3899,1
1585,1
5330,1
447,2
5075,1
279,1
884,2
1317,1
1059,1
1198,1
1272,1
2938,1
5000,2
2769,1
4145,2
3651,2
3935,1
130,1
92,2
3891,2
958,1
4755,2
3791,1
3692,1
25,1
3486,2
5266,1
4860,1
3836,1
2098,1
5016,1
4927,1
2638,1
4209,2
2040,1
2213,2
1632,1
244,2
1045,1
2662,2
3375,2
207,2
3775,1
3028,2
236,1
3801,2
495,1
953,2
157,1
4289,1
4597,1
3328,1
2936,1
464,1
209,1
451,1
26,1
2249,2
4553,1
302,1
4454,1
3462,2
4518,1
1225,1
2075,2
2751,1
3166,1
2263,1
290,1
1388,2
3592,1
4651,1
4718,1
936,2
4132,1
3490,1
3367,2
3326,1
32,1
3323,2
4511,2
344,2
2866,2
4308,1
4734,1
2821,1
651,1
4977,1
4655,2
4953,1
4871,1
4092,1
4643,1
2047,1
2277,1
1438,2
473,1
3272,1
2727,1
4065,1
5207,1
4863,1
3588,2
3604,1
2518,2
2750,1
3110,1
2377,1
1243,1
2635,1
1051,1
1102,2
1601,1
1461,1
1877,2
2849,1
3067,1
4512,2
3199,1
347,1
3216,2
2335,1
138,1
2517,1
3346,1
5228,2
3831,1
1326,2
1758,1
797,1
2457,1
5141,1
3407,1
3278,2
1421,1
928,1
2054,1
4019,1
3599,1
1083,2
1411,1
602,1
3135,1
224,1
3745,1
64,2
151,1
1270,1
2,1
2464,1
241,1
2288,1
1054,1
4152,1
3803,1
4733,1
2241,1
2456,1
50,1
2201,1
9,2
2267,1
670,1
2688,1
4401,2
2327,1
4981,1
2333,1
5085,2
5234,1
2880,1
3506,2
4296,2
1687,1
1470,1
3185,1
1251,2
1521,1
2117,1
3077,1
4921,1
4557,1
3046,1
2533,2
1075,1
1986,2
173,1
1204,2
1398,1
622,1
2926,2
4985,1
1341,2
2535,1
2089,1
2904,2
3048,1
2291,1
4950,1
1287,1
769,1
1508,2
1584,1
4885,2
4911,1
536,1
424,1
666,2
1416,2
669,1
3799,1
5042,1
4960,1
2077,2
435,1
1841,1
3348,2
2022,1
1688,2
4057,1
137,2
2959,1
1032,2
1070,1
5045,1
4169,1
1872,1
3263,2
181,1
3533,2
689,2
1708,1
4578,1
2831,2
4142,1
3997,2
1622,1
1812,1
1349,1
2913,2
4488,1
5370,1
333,2
1861,1
2196,1
3822,2
5188,1
1914,2
1242,2
2597,2
474,1
2433,2
3062,2
2760,1
5311,2
1352,2
2274,2
4413,1
4123,1
1869,1
398,2
2810,1
3079,1
1389,2
66,2
3636,1
3482,1
5237,1
4545,2
4374,1
2143,2
5094,1
955,1
2295,1
4154,1
175,1
1785,1
75,1
1911,1
3860,2
1851,1
4905,1
2736,1
3312,1
2039,2
578,1
1683,1
2931,1
4339,1
3036,1
5341,1
2353,1
4200,1
5067,1
1390,1
5249,1
1367,1
2079,1
4624,2
5146,1
1988,2
103,2
1956,1
357,1
3351,2
4798,1
4533,1
2260,1
4551,2
3580,1
5139,2
4975,1
2503,1
4105,2
4753,1
217,1
4332,1
2509,2
3971,2
921,1
2229,1
2244,1
2031,1
4846,1
3255,1
3206,1
3564,2
4259,1
2308,1
1556,1
1269,1
1289,1
715,1
3746,1
563,1
5225,1
2396,2
2477,1
3491,1
52,1
1486,1
1466,1
596,2
3381,2
3362,2
4566,2
1629,1
454,2
3349,2
199,1
5261,2
3157,2
5167,1
1178,2
2138,2
268,2
3688,2
3220,1
1636,1
593,2
3198,1
4045,1
4095,1
1084,1
3884,1
2200,1
2290,1
301,2
1386,1
258,1
3938,1
2271,2
2600,2
3120,1
266,1
4025,1
1283,1
2542,2
1379,1
5281,1
761,2
3829,1
1328,1
4567,1
4899,1
5086,1
4252,1
1057,1
1801,1
3779,1
2699,1
1595,1
446,1
948,1
143,1
2701,1
1213,2
917,1
1615,2
2354,2
1933,2
3736,1
4461,1
3648,2
306,2
3413,2
4943,2
4598,1
248,1
3996,1
5028,1
1605,2
1652,2
1247,1
3354,1
5246,1
2223,2
1565,1
1928,1
2655,1
4228,1
939,1
4168,1
818,1
1277,1
774,1
1263,1
1669,1
2697,2
4281,1
3012,1
2914,1
2834,1
510,1
994,1
887,1
523,2
262,1
3200,1
2482,2
2133,1
4726,1
4674,2
4986,1
756,1
3881,1
4304,2
3941,2
4499,1
3497,2
5328,1
281,2
4627,2
4008,1
3605,1
259,1
2848,1
3029,1
3425,1
1908,2
2412,1
2725,1
3439,1
4751,1
5161,1
4122,1
548,1
605,1
3842,1
5096,2
3494,1
4663,2
4398,2
2733,1
2963,1
2565,1
313,1
5140,1
2743,1
5206,1
13,2
4612,1
991,1
638,2
2142,1
2003,2
5071,1
1646,1
4415,1
3193,1
176,1
4843,1
631,1
1134,1
2788,2
3094,2
4159,1
3155,2
386,1
2459,2
5022,1
1544,2
4836,1
650,1
3611,1
2960,1
2320,2
1711,1
2429,1
30,1
38,2
4082,2
3759,1
2559,2
2390,1
3727,1
5384,1
4693,1
2644,1
4993,2
3812,2
2901,1
2710,1
1912,1
5338,2
580,1
4991,1
4266,2
2578,2
1627,2
1158,1
2604,2
5189,1
1304,1
1699,1
2312,1
116,1
995,2
3472,1
821,1
647,1
1012,1
2372,2
3222,1
4666,2
5247,2
3035,1
5048,1
3562,1
4399,1
4067,1
1816,1
286,1
294,1
1188,1
3865,1
4036,1
5256,1
2877,1
5131,1
1444,2
4685,1
3042,2
1512,1
5074,1
3337,2
67,2
2874,1
2329,2
1535,2
5327,1
743,1
132,1
3156,1
270,2
3179,1
1436,2
2792,2
827,2
1439,1
4690,2
3501,2
3214,1
3755,1
1206,1
3531,1
5009,2
5402,1
1018,1
1647,1
2328,1
3864,1
4242,1
5124,1
3744,2
387,2
1302,1
2195,1
1778,1
1030,1
5185,1
3010,1
5358,2
2764,2
4156,1
5082,2
3303,1
2401,1
3653,2
2053,1
4434,1
1616,1
3581,1
3021,2
4440,1
2045,2
1007,1
4906,2
1981,2
2772,1
2588,1
1797,1
4121,1
4020,2
1673,2
5224,1
3370,1
4868,1
4613,1
2957,2
3782,1
373,1
4521,2
825,2
4638,1
5041,1
3211,1
367,1
1528,1
3669,1
2858,1
4722,1
2726,1
5353,1
956,2
4969,1
4812,1
3205,1
1815,2
1793,1
2296,1
2398,1
3666,2
1033,1
4807,2
940,1
2998,2
696,1
912,1
1631,1
1670,1
5238,1
1173,2
1133,1
1006,1
2057,1
1838,1
2811,1
1115,1
4571,1
5388,2
4178,2
3766,2
2046,2
5152,1
2417,2
1543,1
4586,1
3129,1
3958,2
1915,1
2847,1
2897,1
2479,1
2974,2
4093,1
1432,1
3927,1
297,1
340,1
3875,2
2309,2
4528,2
1623,1
444,1
567,1
5371,2
1727,1
4555,1
2653,1
4649,2
4792,1
4628,2
4113,2
1934,1
3939,2
3398,2
2732,2
2586,1
2715,2
1334,2
744,1
2919,1
4923,1
4659,1
1036,1
1371,1
893,1
861,1
4710,1
4038,1
3209,1
3242,2
892,1
394,2
853,2
2402,1
613,1
1003,2
2609,1
1463,1
2048,1
5148,1
4809,2
4527,2
1844,1
2494,1
3701,1
988,1
1044,2
4958,2
557,2
240,1
3451,2
4054,1
630,1
978,1
5070,1
1599,1
4240,1
3406,1
2906,2
4657,1
461,2
4129,2
2647,2
4213,1
3787,1
2380,1
255,1
3365,1
4818,1
633,2
1125,1
549,1
1907,1
24,2
448,2
3888,2
2787,1
4096,1
4417,1
321,1
3535,1
1864,1
5197,2
2352,2
2015,1
2813,2
292,1
57,1
2569,1
269,2
5115,1
4063,1
1040,2
3366,1
1604,2
3399,2
1027,1
3469,1
4031,1
1022,1
718,2
5143,1
3667,1
3835,1
960,1
3537,1
4048,1
4995,2
5017,1
256,1
3719,1
2622,2
908,2
4261,1
3995,1
1442,1
4939,1
5103,2
1960,2
4216,1
4179,1
750,1
3642,1
874,1
4420,1
2222,2
1833,2
117,2
975,1
2678,1
2080,1
491,1
4856,2
3296,2
2182,1
809,1
1218,2
1256,1
1262,2
5294,1
1966,2
231,2
3598,1
1717,2
2211,2
60,1
3774,1
799,1
1162,1
763,2
3906,1
5138,1
1177,1
3011,1
3943,2
880,2
713,1
3483,1
625,2
1530,2
3704,2
5230,1
3432,2
3404,1
171,2
3000,1
319,1
3630,2
416,1
773,1
2676,1
316,1
5106,1
535,2
1573,2
3780,1
1412,1
1993,1
3722,1
1222,1
3769,2
1998,1
3165,2
4895,1
2379,2
74,1
2615,1
3708,2
2784,1
3132,1
3954,1
4211,1
4108,2
2970,1
3682,1
5172,1
436,2
3279,1
3557,1
4344,1
3783,1
505,1
3893,2
530,1
762,1
378,1
4197,1
4606,2
1827,2
752,2
3315,1
3372,1
2276,1
2450,2
4999,1
4040,1
2013,2
4619,1
2809,2
714,1
12,2
2581,2
967,2
745,1
1875,1
2591,1
4041,1
410,1
3732,2
2340,1
3095,2
2879,1
2055,1
396,1
1843,2
1931,1
4839,1
2069,1
1190,2
875,1
3970,1
89,2
860,1
4133,1
2044,2
5003,2
2322,2
2525,1
2205,1
4349,2
5168,2
1825,1
703,2
1356,2
767,1
2458,1
1481,1
2783,2
4550,1
4033,1
3959,2
4414,1
2231,1
4873,1
1005,2
686,2
4444,1
590,1
145,1
2384,1
2421,1
4312,2
3946,1
422,1
658,1
1982,1
3134,1
610,2
4604,2
3002,1
4053,2
4744,1
914,1
780,1
1589,1
4170,1
2958,2
4134,1
3499,2
5211,2
2946,1
3382,2
1282,1
4150,2
667,1
604,2
4526,1
2175,2
3468,2
1252,1
566,2
2339,1
111,1
3712,1
4081,1
1207,1
3243,2
585,1
4694,1
1056,1
1309,1
153,1
3232,1
5307,2
1789,2
4003,1
2721,1
4059,1
113,2
2423,1
2471,1
2366,1
104,1
1745,2
3480,1
5109,1
3896,1
1281,2
1725,1
1446,1
467,1
4177,1
3228,1
1450,1
4124,1
1832,1
4090,2
4174,1
1483,1
621,1
5170,2
4679,2
2032,1
3858,2
3901,1
4861,1
1273,1
3618,1
5040,1
5076,1
3622,1
382,1
3025,2
1643,1
5222,1
804,1
4737,1
4540,1
128,1
4721,2
4390,1
449,1
3839,1
2311,2
3449,2
5295,2
3919,1
363,2
3100,1
3104,2
2261,2
5029,1
2953,1
1347,1
278,2
961,1
4850,1
2940,1
5108,2
194,2
238,2
3368,1
1511,1
254,1
383,1
3056,1
2134,1
2198,1
3217,2
4656,2
801,2
4589,1
1322,2
2203,1
5057,1
531,1
5298,2
4163,2
2734,1
42,1
1621,1
498,2
3395,1
711,1
4966,1
5069,1
3530,1
5046,1
966,1
4538,2
5179,1
4727,2
947,1
3195,1
4864,2
3723,1
5177,1
4704,1
2558,2
4315,1
1965,1
2830,1
1323,1
2804,2
343,1
1475,1
2269,2
2876,1
3066,2
107,1
1430,1
4984,1
2125,1
3355,1
1369,2
3730,1
5180,2
5100,1
1773,2
3819,2
3049,1
1859,1
1351,1
2935,2
3838,2
4896,2
2855,2
186,1
51,1
4803,1
2325,1
2185,1
4324,2
3807,1
115,1
1660,1
218,2
1970,1
3023,1
4759,2
323,1
62,1
4801,1
501,2
1671,1
3818,2
4618,1
1567,1
87,1
2033,1
196,1
141,1
1707,2
1665,1
3293,2
2298,2
276,1
1903,2
3790,1
1951,1
708,1
4915,1
1572,1
2942,1
2980,1
3643,1
2933,1
2907,1
409,2
31,1
3816,1
765,1
2246,1
4193,1
1477,2
2872,1
4808,2
2443,1
4552,1
1999,2
198,1
4910,2
1856,1
2172,2
3679,2
5309,2
2034,1
5073,1
3907,2
3359,1
2585,1
918,2
3894,1
5129,1
1095,1
873,1
4970,2
1310,2
2992,1
2663,2
837,1
2112,2
5320,1
2778,1
2422,2
3502,1
2151,2
3147,1
4303,1
5213,2
16,1
5038,1
777,1
4648,1
1076,1
4458,2
2455,1
1331,1
524,1
2144,1
4829,1
5235,2
1232,1
3509,1
3619,2
3265,1
4529,1
412,1
3848,1
1534,2
4595,1
705,1
4117,1
3850,1
4928,1
4411,1
2917,1
618,1
4323,1
1661,1
2538,2
2350,2
1796,2
3324,2
489,1
4196,1
3747,1
4933,1
1409,1
4371,1
5120,1
1848,2
2420,1
4316,1
4645,1
4695,1
3254,1
1469,1
574,1
1275,2
4223,2
3617,1
1211,2
1867,1
1332,1
4238,2
4251,1
4184,2
2991,1
1002,2
2846,1
4426,1
1373,2
2799,2
1700,1
4880,1
5308,1
2607,2
4069,1
2501,2
4265,1
1633,1
3920,1
649,1
4131,1
4393,2
308,1
4012,1
5066,1
414,1
2798,1
2280,1
4403,1
3325,1
2177,2
1122,1
1231,2
959,1
3910,2
4405,2
4542,1
816,1
4946,1
2859,1
1019,2
2952,2
1653,1
848,1
4672,1
3415,1
3423,1
4102,2
3006,1
1165,2
4229,1
1149,1
710,2
1407,1
3127,1
3428,1
3600,1
4615,2
5158,1
5325,1
5191,1
4731,1
3374,2
2454,2
2930,1
4243,1
4602,2
1151,2
927,1
688,2
2884,1
1879,1
3061,1
1755,2
3139,1
1948,1
4305,1
1509,2
3113,2
1449,1
1641,1
2105,2
1493,2
477,1
4125,1
2218,1
2217,1
285,1
1253,2
4886,2
1316,1
2571,1
2498,1
2590,1
300,1
3153,1
4137,1
4400,1
1199,1
5008,1
4779,1
3478,1
3088,1
3068,1
3554,1
2674,2
4119,1
4862,2
5367,2
503,1
1339,1
4901,1
901,1
1305,1
1967,1
2682,2
4796,1
3207,1
312,1
4680,1
5053,1
1210,1
3661,2
376,1
4111,1
1429,1
1854,1
212,1
4735,1
4561,1
1130,1
4456,1
3750,1
2146,1
2232,2
3343,2
318,1
3316,1
3047,1
1370,2
2281,2
3687,1
4719,1
4402,1
3057,1
3912,1
1675,1
2983,1
2106,1
2364,1
3233,2
2910,1
1143,1
2128,1
364,2
2599,1
1882,1
3784,1
1597,1
3119,1
5212,2
1034,1
4351,1
1697,1
4772,2
3760,1
3567,2
5107,2
3431,1
3768,1
694,1
246,1
5173,1
838,1
1107,1
573,1
4498,1
2948,2
482,1
4611,1
736,1
1361,2
2180,1
1184,2
331,1
3078,2
5242,2
2657,1
3106,2
3852,1
183,1
2826,2
832,1
1524,2
5346,1
4773,1
516,2
3424,1
3556,2
4662,2
2272,1
1197,1
1082,1
3650,1
2095,1
2299,1
3380,1
2338,1
3418,1
4051,2
5087,1
118,1
5253,2
2188,1
1392,2
3364,1
2100,2
5392,1
65,1
2163,2
2424,2
5334,2
