,Class
2455,1
1762,1
1108,1
524,1
2391,2
2226,1
512,1
2506,1
398,1
1869,1
1527,1
2116,1
1019,1
2276,1
140,1
1342,1
1647,1
2139,1
1967,1
64,1
430,1
578,1
389,1
294,1
2418,1
1121,1
2509,1
949,1
541,1
393,1
1945,1
2277,1
1052,1
1110,1
654,1
1326,1
92,1
1072,1
1922,1
712,1
1294,1
2420,1
1423,1
1185,1
274,1
1040,1
826,1
1038,1
1604,1
2263,1
886,1
2428,2
464,1
1104,1
186,1
2400,1
2123,1
51,1
66,1
1543,1
525,1
876,1
446,1
1888,1
1728,2
1963,2
813,1
1802,1
535,1
2088,1
511,1
2269,1
1812,1
84,1
510,1
2445,1
443,1
2103,1
455,1
354,1
1632,1
2488,1
361,1
1677,1
1659,1
1455,1
1500,1
1068,1
2484,1
1679,1
18,1
25,1
2072,1
1758,1
1603,1
2302,1
4,1
2285,1
537,1
2476,1
505,1
1492,1
1755,1
436,1
313,1
2533,1
636,1
1214,1
948,2
1552,1
2062,1
1996,1
737,1
559,1
1560,1
1809,1
211,1
1877,1
1416,1
1884,1
2161,1
864,1
2479,1
2016,1
1362,1
291,1
1551,1
1678,1
649,1
2351,1
1456,1
822,1
2061,1
1316,2
1790,1
2074,1
2059,2
1126,1
7,1
1341,2
1747,1
656,1
832,1
2078,1
2234,1
571,2
574,1
965,2
1615,1
1086,1
2241,1
742,1
935,1
2235,1
937,1
1228,1
1558,1
1335,1
139,2
299,1
729,1
1672,1
1568,1
1836,1
1372,1
2433,1
1753,1
1804,1
2142,1
634,1
769,1
1462,1
396,1
2128,1
516,1
2069,1
448,1
1145,1
2345,1
2259,1
286,1
121,1
30,1
1559,1
996,1
2173,1
1760,1
1419,1
538,1
1631,1
1373,1
1864,1
90,1
2242,1
1916,1
122,2
1262,1
1962,1
1496,1
200,1
2073,1
227,1
1486,1
264,1
2519,1
2177,1
188,1
2118,1
1820,1
1382,1
2439,1
691,1
1766,1
164,1
281,2
222,1
69,1
1798,1
653,1
1562,1
1973,1
694,1
1043,1
839,1
2344,1
2201,1
595,2
317,1
1582,1
1752,1
134,1
1903,1
46,1
1954,2
1598,1
1698,1
271,1
1414,1
2327,1
922,2
1292,1
1669,1
706,1
1779,1
404,1
2172,1
834,2
956,1
1554,1
1475,1
2254,1
2039,1
1125,1
1946,1
36,1
1161,1
1637,1
778,1
1831,1
554,1
1987,1
2532,1
1657,1
2233,1
424,1
716,1
1727,1
301,1
1303,1
613,1
675,1
593,1
1186,1
1236,1
1550,1
1494,1
413,1
2361,1
1770,1
591,1
624,1
1409,1
246,1
1434,1
1549,1
845,1
567,1
1658,1
2266,1
2453,1
2035,1
767,1
2305,1
1890,1
1689,1
2102,1
957,1
2120,1
662,1
2465,1
951,1
678,1
736,1
976,1
2294,1
2426,1
999,1
1322,1
62,1
213,1
975,1
298,1
1480,1
1873,1
2084,1
2350,1
2366,1
1895,1
1117,1
2022,1
1097,1
1436,1
265,1
766,1
913,2
386,1
1446,1
445,1
545,1
1952,2
1732,1
784,1
1308,1
1193,1
1849,1
585,2
375,1
824,1
847,1
1506,1
2279,1
910,1
1649,2
2203,1
2442,1
1985,1
2064,1
2287,1
2270,1
2096,1
126,2
1730,1
334,1
731,1
852,2
2255,1
1371,1
110,1
2524,1
805,1
1974,1
1841,1
1660,1
2106,1
1518,1
1258,1
2387,1
2385,1
1508,1
550,1
95,1
2340,1
677,1
1344,1
640,2
292,1
2003,1
6,1
2227,1
196,1
2038,2
1295,1
316,1
2218,1
2483,1
564,1
2529,1
1057,1
1491,1
2382,1
214,1
2189,1
250,1
2081,1
1087,1
1938,1
1291,1
2229,1
616,1
2006,1
1307,1
586,1
415,1
210,1
651,1
125,1
601,1
1930,1
938,1
1259,1
1209,1
611,1
1230,1
1651,1
534,1
1606,1
261,2
2054,2
1894,1
925,2
887,1
1172,1
835,1
221,2
1380,1
1908,1
321,1
176,1
2121,1
1937,1
2413,2
112,2
695,1
598,1
2370,1
2354,1
1917,1
2486,1
1617,1
1176,1
447,1
47,1
1850,1
494,1
1129,1
1542,1
1483,1
884,1
2224,1
1548,2
2043,1
439,1
401,1
2212,1
689,1
2247,1
2525,1
2214,1
2458,1
797,1
2467,1
106,1
2362,1
551,1
1733,1
606,2
232,2
2175,1
1600,1
526,1
580,2
860,1
2491,1
1992,1
1340,2
1532,1
960,2
387,1
1309,1
994,1
2005,1
2090,1
1254,1
1427,1
1781,1
1139,1
432,1
1685,1
1048,1
474,1
985,1
2251,1
1927,1
463,1
2053,1
2001,2
1337,1
1470,1
1339,1
406,1
2301,1
1374,1
2410,1
2085,1
1853,1
1227,1
2365,2
198,1
356,1
726,1
674,1
576,1
151,1
1738,1
1428,1
1412,1
1817,1
775,1
1120,1
462,1
2314,1
1256,1
669,1
542,1
2343,1
508,1
1102,1
955,2
355,1
552,1
1720,1
756,1
55,1
2333,1
1201,1
1628,1
2031,1
133,1
170,1
1778,1
1280,1
2181,1
2273,1
1958,1
2188,1
2063,1
1984,1
2113,1
1369,1
2311,1
1200,1
684,1
79,1
659,1
1966,1
699,1
533,1
344,1
1062,1
2058,1
2443,1
1045,1
904,1
2248,1
2495,1
1906,1
1891,1
612,1
65,1
2060,1
148,2
1773,1
2478,1
1144,1
517,1
1332,1
1934,1
258,1
1381,1
1706,1
1822,1
2107,1
2348,1
11,1
0,1
1246,1
617,1
1439,1
873,1
660,1
509,1
2403,1
607,2
2415,1
2213,1
926,1
739,1
1719,1
22,1
161,1
1986,1
1448,1
671,1
1699,1
129,2
425,1
1723,1
1490,1
2526,1
257,1
450,1
1525,1
1178,1
1014,1
1964,1
1220,1
539,1
1025,1
1611,1
1991,1
2386,1
1774,1
1318,2
1625,1
123,2
1433,1
1665,1
602,1
2228,1
346,1
479,1
1387,1
1463,1
2047,1
782,1
1680,1
1080,1
750,1
1331,1
1538,1
1586,1
2167,1
1058,1
2010,1
2183,1
1251,2
522,1
1118,1
1520,1
1667,1
2068,1
1921,1
787,1
2328,1
82,1
1365,1
423,1
2283,1
2257,1
686,1
855,1
1438,1
74,1
2369,2
1622,1
897,1
2496,1
2150,1
2414,1
1636,1
29,1
1989,1
272,1
220,1
709,1
863,1
2166,1
27,1
1744,1
1858,1
2250,1
490,1
1815,1
721,1
2449,1
1398,1
1213,1
225,1
2346,1
306,1
851,1
2126,1
1430,1
467,1
799,1
1544,1
2014,1
1059,1
819,1
2316,1
466,1
1842,1
1018,1
145,1
491,1
1345,1
260,1
804,1
1437,1
1124,1
1874,1
1188,1
135,1
1666,1
2454,1
1630,1
2527,1
1567,1
1593,1
1896,1
850,1
184,1
1133,1
973,1
708,1
599,1
2516,1
907,1
2363,1
1751,1
2480,1
923,2
1191,1
753,1
2244,1
1863,1
1588,2
194,1
1827,1
1898,1
921,1
332,1
1650,1
1467,1
2522,1
827,1
961,2
746,1
2195,1
945,1
1471,1
1885,1
199,1
2325,1
1943,1
2155,1
268,2
2379,1
1879,2
771,1
1597,1
1219,1
71,1
470,1
1671,1
1,1
1027,1
130,2
828,1
1426,1
658,1
1735,1
2281,1
1429,1
1009,1
2249,1
1786,1
807,1
473,1
353,1
1722,1
763,1
1941,1
527,1
1746,1
1754,1
2304,1
416,1
969,1
2184,1
1194,1
1784,1
388,1
300,1
597,1
2513,1
990,2
625,1
2192,1
1356,1
1031,1
2401,1
874,1
2236,1
745,1
1003,1
664,2
1296,1
891,1
794,1
725,1
2030,1
1187,1
1951,2
783,1
2148,1
1944,1
1789,1
1998,1
1912,1
2349,1
224,1
632,2
179,1
159,1
1584,1
2489,1
1757,1
743,1
1253,1
791,1
1824,1
977,1
2110,1
101,1
2194,1
1950,1
2132,1
2238,1
1840,1
2033,1
32,1
1151,1
1266,1
2317,1
1290,1
513,1
2373,1
1569,1
560,1
57,1
1333,1
1177,1
2199,1
1321,1
2162,1
1978,1
529,2
2093,1
1100,1
378,1
390,1
285,1
1700,1
844,1
427,1
570,2
1670,1
2468,1
765,1
1654,1
1358,1
1993,1
367,1
531,1
1190,1
2424,1
749,1
2243,1
1539,1
1155,1
2528,1
178,1
1872,1
1142,1
1249,2
203,1
2134,1
1077,1
1478,1
1940,1
1656,1
2028,1
915,1
1514,1
877,1
166,1
1320,1
218,1
2329,1
1041,1
1910,1
1676,1
2398,1
1163,1
909,1
91,1
2204,1
838,1
165,1
337,1
670,1
931,1
1458,1
1990,1
1250,1
1712,1
2002,1
1378,1
345,1
499,1
2300,1
2459,1
1899,1
1537,1
1420,1
2040,1
924,2
792,1
1375,1
1016,1
311,1
336,1
2429,2
338,1
2474,1
1832,1
1965,1
1741,1
1015,1
482,1
1555,1
2041,1
2298,1
506,1
2326,1
1324,1
1642,1
150,1
1498,1
1090,1
1081,1
1364,1
1823,1
458,1
655,1
252,1
2009,1
1153,1
1745,1
861,1
391,1
2282,1
1319,1
1312,1
1979,1
1970,1
1721,1
80,1
1366,1
701,1
1384,1
1780,1
1243,1
1424,1
892,1
2377,1
1928,1
156,1
870,2
1828,1
1605,1
2049,1
768,1
1400,1
543,1
1360,1
1063,1
888,1
1217,1
1203,1
2511,1
2434,1
773,1
1956,1
1226,1
431,1
23,1
1563,1
1686,1
2307,1
2338,1
1717,1
1235,1
2154,1
284,1
12,1
1004,1
2112,1
2221,1
2470,1
1055,1
307,1
1093,1
2178,1
8,1
327,1
239,1
63,1
1851,1
1298,1
648,1
934,1
2364,1
1601,1
1519,1
1479,1
963,1
1477,1
1149,1
2268,1
854,1
1450,1
1837,1
1736,1
1929,1
418,1
901,1
1012,1
2330,1
2157,1
41,1
1067,1
744,1
1988,1
1297,1
2208,1
2222,1
1662,1
2517,1
2240,1
1536,1
1887,1
1042,1
629,1
1801,1
2092,1
978,2
1867,1
1977,1
497,1
2292,1
800,1
1239,1
661,1
1488,1
605,2
73,1
2334,1
618,2
45,1
